 freq            v(vout_RF_filt_spec_db)
 4.01245945e+07 -7.78564634e+01 
 4.02492051e+07 -8.67983928e+01 
 4.03738156e+07 -8.25778373e+01 
 4.04984262e+07 -8.15901989e+01 
 4.06230367e+07 -8.16774833e+01 
 4.07476473e+07 -8.04283302e+01 
 4.08722578e+07 -7.85856636e+01 
 4.09968683e+07 -7.76392278e+01 
 4.11214789e+07 -7.50253851e+01 
 4.12460894e+07 -8.77447256e+01 
 4.13707000e+07 -8.24733818e+01 
 4.14953105e+07 -8.67806926e+01 
 4.16199210e+07 -8.72565811e+01 
 4.17445316e+07 -8.40351800e+01 
 4.18691421e+07 -8.70265203e+01 
 4.19937527e+07 -8.01921707e+01 
 4.21183632e+07 -8.24388732e+01 
 4.22429738e+07 -8.59949345e+01 
 4.23675843e+07 -8.77045598e+01 
 4.24921948e+07 -8.21783477e+01 
 4.26168054e+07 -7.54617870e+01 
 4.27414159e+07 -7.76123222e+01 
 4.28660265e+07 -8.53360617e+01 
 4.29906370e+07 -8.48728170e+01 
 4.31152476e+07 -7.62583747e+01 
 4.32398581e+07 -7.25034111e+01 
 4.33644686e+07 -7.24218257e+01 
 4.34890792e+07 -7.45992142e+01 
 4.36136897e+07 -7.66328657e+01 
 4.37383003e+07 -8.72109022e+01 
 4.38629108e+07 -8.22327987e+01 
 4.39875213e+07 -7.59254162e+01 
 4.41121319e+07 -7.38330764e+01 
 4.42367424e+07 -7.87319625e+01 
 4.43613530e+07 -8.10795379e+01 
 4.44859635e+07 -8.34094812e+01 
 4.46105741e+07 -8.07027270e+01 
 4.47351846e+07 -7.48590645e+01 
 4.48597951e+07 -7.89761276e+01 
 4.49844057e+07 -8.06341986e+01 
 4.51090162e+07 -7.32821430e+01 
 4.52336268e+07 -7.67677188e+01 
 4.53582373e+07 -8.55796382e+01 
 4.54828479e+07 -8.42486151e+01 
 4.56074584e+07 -8.53679333e+01 
 4.57320689e+07 -7.06415059e+01 
 4.58566795e+07 -6.94869111e+01 
 4.59812900e+07 -6.75036713e+01 
 4.61059006e+07 -6.61134644e+01 
 4.62305111e+07 -7.25203754e+01 
 4.63551216e+07 -7.65803994e+01 
 4.64797322e+07 -7.08452694e+01 
 4.66043427e+07 -7.12767830e+01 
 4.67289533e+07 -7.67469973e+01 
 4.68535638e+07 -7.53540992e+01 
 4.69781744e+07 -8.39577192e+01 
 4.71027849e+07 -8.23795443e+01 
 4.72273954e+07 -7.29518794e+01 
