frequency,mag_dB,phase_deg
1.153453257821091960e+01,-4.999999999998610001e-01,-2.336541365760656276e-03
1.177605973520807225e+01,-4.999999999998548939e-01,-2.385467335649303546e-03
1.202264434617412370e+01,-4.999999999998497313e-01,-2.435417790089110072e-03
1.227439231158407118e+01,-4.999999999998436251e-01,-2.486414181257761997e-03
1.253141174941415592e+01,-4.999999999998375189e-01,-2.538478410530470991e-03
1.279381304157524646e+01,-4.999999999998303579e-01,-2.591632837885952858e-03
1.306170888131841146e+01,-4.999999999998221978e-01,-2.645900291509336710e-03
1.333521432163323972e+01,-4.999999999998170352e-01,-2.701304077596175003e-03
1.361444682465949718e+01,-4.999999999998089306e-01,-2.757867990361727306e-03
1.389952631213353307e+01,-4.999999999997997158e-01,-2.815616322259851135e-03
1.419057521689091672e+01,-4.999999999997895017e-01,-2.874573874415850983e-03
1.448771853544761079e+01,-4.999999999997823408e-01,-2.934765967277807100e-03
1.479108388168207178e+01,-4.999999999997721822e-01,-2.996218451490921184e-03
1.510080154164147714e+01,-4.999999999997629119e-01,-3.058957718999567085e-03
1.541700452949559264e+01,-4.999999999997537525e-01,-3.123010714381827847e-03
1.573982864466218778e+01,-4.999999999997435385e-01,-3.188404946421348994e-03
1.606941253012877269e+01,-4.999999999997302158e-01,-3.255168499921526175e-03
1.640589773199538826e+01,-4.999999999997200573e-01,-3.323330047767044867e-03
1.674942876026437233e+01,-4.999999999997087885e-01,-3.392918863238020971e-03
1.710015315090286947e+01,-4.999999999996975752e-01,-3.463964832581950364e-03
1.745822152920503711e+01,-4.999999999996832534e-01,-3.536498467848950451e-03
1.782378767448089008e+01,-4.999999999996700417e-01,-3.610550919995729469e-03
1.819700858609983385e+01,-4.999999999996567190e-01,-3.686153992263974718e-03
1.857804455091698159e+01,-4.999999999996413425e-01,-3.763340153838852682e-03
1.896705921211145451e+01,-4.999999999996250777e-01,-3.842142553793532079e-03
1.936421963946606795e+01,-4.999999999996107558e-01,-3.922595035325690364e-03
1.976969640111860116e+01,-4.999999999995933253e-01,-4.004732150292111652e-03
2.018366363681560571e+01,-4.999999999995780597e-01,-4.088589174047662679e-03
2.060629913269999491e+01,-4.999999999995586308e-01,-4.174202120594952548e-03
2.103778439766475117e+01,-4.999999999995413114e-01,-4.261607758051254302e-03
2.147830474130532963e+01,-4.999999999995198285e-01,-4.350843624439263389e-03
2.192804935350448403e+01,-4.999999999994983457e-01,-4.441948043808536042e-03
2.238721138568338986e+01,-4.999999999994779731e-01,-4.534960142694476233e-03
2.285598803375430066e+01,-4.999999999994585442e-01,-4.629919866921987891e-03
2.333458062281001943e+01,-4.999999999994330091e-01,-4.726867998760968075e-03
2.382319469358690256e+01,-4.999999999994095279e-01,-4.825846174441047499e-03
2.432204009073814532e+01,-4.999999999993849364e-01,-4.926896902033053340e-03
2.483133105295569010e+01,-4.999999999993604560e-01,-5.030063579704934645e-03
2.535128630497906954e+01,-4.999999999993308686e-01,-5.135390514359929742e-03
2.588212915153090421e+01,-4.999999999993012256e-01,-5.242922940665020390e-03
2.642408757321945956e+01,-4.999999999992736921e-01,-5.352707040477830240e-03
2.697739432444919316e+01,-4.999999999992440491e-01,-5.464789962680309011e-03
2.754228703338166184e+01,-4.999999999992102984e-01,-5.579219843427735484e-03
2.811900830398939632e+01,-4.999999999991766031e-01,-5.696045826821703392e-03
2.870780582024690730e+01,-4.999999999991419086e-01,-5.815318086016021439e-03
2.930893245250319978e+01,-4.999999999991081578e-01,-5.937087844764518500e-03
2.992264636608188866e+01,-4.999999999990683563e-01,-6.061407399420088576e-03
3.054921113215511852e+01,-4.999999999990295541e-01,-6.188330141394358594e-03
3.118889584093937017e+01,-4.999999999989876431e-01,-6.317910580087670105e-03
3.184197521726123981e+01,-4.999999999989447330e-01,-6.450204366299176068e-03
3.250872973854342263e+01,-4.999999999989008237e-01,-6.585268316127167003e-03
3.318944575526103336e+01,-4.999999999988528065e-01,-6.723160435369838865e-03
3.388441561392023971e+01,-4.999999999988037347e-01,-6.863939944436986407e-03
3.459393778261218699e+01,-4.999999999987537191e-01,-7.007667303783383407e-03
3.531831697919567858e+01,-4.999999999987005950e-01,-7.154404239874657088e-03
3.605786430216423355e+01,-4.999999999986464716e-01,-7.304213771696954106e-03
3.681289736425313208e+01,-4.999999999985882404e-01,-7.457160237821621775e-03
3.758374042884441479e+01,-4.999999999985300092e-01,-7.613309324036684166e-03
3.837072454922786591e+01,-4.999999999984677257e-01,-7.772728091556858898e-03
3.917418771077830542e+01,-4.999999999984023336e-01,-7.935485005824315791e-03
