 frequency       v(Tmb_dB)       v(Tmb_arg)     
 1.54212228e+02 -2.77767707e+02 -5.28959617e-04 
 1.57768320e+02 -2.77700400e+02 -5.78335537e-04 
 1.61406415e+02 -2.77794324e+02 -7.93520163e-04 
 1.65128404e+02 -2.77753638e+02 -2.48760224e-05 
 1.68936220e+02 -2.77740080e+02 -7.38481658e-04 
 1.72831844e+02 -2.77638761e+02 -5.00639622e-04 
 1.76817299e+02 -2.77741427e+02 -7.17609640e-04 
 1.80894658e+02 -2.77673620e+02 -9.45554681e-04 
 1.85066040e+02 -2.77722536e+02 -1.31526670e-04 
 1.89333613e+02 -2.77598639e+02 -3.28412165e-04 
 1.93699595e+02 -2.77586300e+02 -7.42184788e-04 
 1.98166255e+02 -2.77661600e+02 -6.79039496e-04 
 2.02735916e+02 -2.77820188e+02 -8.24693917e-04 
 2.07410951e+02 -2.77703200e+02 -7.30720875e-04 
 2.12193792e+02 -2.77673853e+02 -5.02947532e-04 
 2.17086923e+02 -2.77700442e+02 -1.17017996e-04 
 2.22092889e+02 -2.77794010e+02  4.81324855e-05 
 2.27214291e+02 -2.77833475e+02 -8.45026553e-04 
 2.32453791e+02 -2.77779248e+02 -2.52316298e-04 
 2.37814113e+02 -2.77724373e+02 -4.86987475e-04 
 2.43298042e+02 -2.77735892e+02 -7.22363838e-04 
 2.48908429e+02 -2.77788879e+02 -1.32009953e-03 
 2.54648190e+02 -2.77622345e+02 -1.39095383e-03 
 2.60520309e+02 -2.77690329e+02 -9.60414603e-04 
 2.66527837e+02 -2.77703475e+02 -9.39316924e-04 
 2.72673897e+02 -2.77890548e+02 -1.52588481e-04 
 2.78961683e+02 -2.77780367e+02 -4.27628249e-04 
 2.85394464e+02 -2.77784231e+02 -4.94615454e-04 
 2.91975583e+02 -2.77825089e+02 -8.21307766e-04 
 2.98708461e+02 -2.77791499e+02 -5.12757693e-04 
 3.05596598e+02 -2.77798651e+02 -7.64128001e-04 
 3.12643573e+02 -2.77712219e+02 -8.12788445e-04 
 3.19853049e+02 -2.77808413e+02 -6.15310492e-04 
 3.27228774e+02 -2.77675937e+02 -1.54713788e-03 
 3.34774581e+02 -2.77820679e+02  4.61418693e-04 
 3.42494392e+02 -2.77776825e+02 -1.24917177e-03 
 3.50392221e+02 -2.77810626e+02 -2.36607085e-04 
 3.58472171e+02 -2.77712689e+02 -7.67157061e-04 
 3.66738442e+02 -2.77705237e+02  2.90421490e-04 
 3.75195331e+02 -2.77810777e+02  4.64988196e-05 
 3.83847234e+02 -2.77856448e+02 -9.99272112e-04 
 3.92698648e+02 -2.77740324e+02 -2.19433094e-04 
 4.01754173e+02 -2.77668179e+02 -7.73256674e-04 
 4.11018515e+02 -2.77716869e+02 -2.11147283e-03 
 4.20496491e+02 -2.77762059e+02 -1.40977346e-03 
 4.30193027e+02 -2.77706924e+02 -2.12244532e-03 
 4.40113162e+02 -2.77792320e+02 -2.69787910e-04 
 4.50262052e+02 -2.77685729e+02 -6.09347749e-04 
 4.60644974e+02 -2.77689873e+02 -9.35945476e-06 
 4.71267322e+02 -2.77782200e+02 -8.28629424e-04 
 4.82134619e+02 -2.77702399e+02 -1.16588247e-03 
 4.93252513e+02 -2.77752766e+02 -2.57478098e-03 
 5.04626783e+02 -2.77621693e+02 -8.25956330e-04 
