time_us,vout
9.299780000000028302e-02,5.168487659999999873e-02
9.372640000000137528e-02,5.209719930000000082e-02
9.380830000000073277e-02,5.214355240000000113e-02
9.397220000000108819e-02,5.223625579999999907e-02
9.397640000000022364e-02,5.223865479999999922e-02
9.398490000000014888e-02,5.224345279999999953e-02
9.400189999999997159e-02,5.225304880000000013e-02
9.402640000000034304e-02,5.226694479999999948e-02
9.402979999999996896e-02,5.226886399999999822e-02
9.403660000000091390e-02,5.227270240000000262e-02
9.405020000000112457e-02,5.228037910000000316e-02
9.407730000000159853e-02,5.229573240000000289e-02
9.413160000000078687e-02,5.232643859999999703e-02
9.424010000000092313e-02,5.238784949999999996e-02
9.445720000000112915e-02,5.251066559999999911e-02
9.489140000000155506e-02,5.275627520000000098e-02
9.575970000000076643e-02,5.324740830000000008e-02
9.749640000000082962e-02,5.422937060000000004e-02
1.009698000000009560e-01,5.619246659999999755e-02
1.011079999999999757e-01,5.627052219999999910e-02
1.011090000000010730e-01,5.627108720000000008e-02
1.011110000000015469e-01,5.627221720000000205e-02
1.011150000000008153e-01,5.627447719999999903e-02
1.011180000000006796e-01,5.627617230000000331e-02
1.011188000000001891e-01,5.627662430000000132e-02
1.011204000000009151e-01,5.627752829999999734e-02
1.011236000000006602e-01,5.627933630000000326e-02
1.011300000000001642e-01,5.628295240000000255e-02
1.011428000000008515e-01,5.629018449999999979e-02
1.011684000000005468e-01,5.630464870000000122e-02
1.012195999999999235e-01,5.633357700000000273e-02
1.013220000000003840e-01,5.639143330000000176e-02
1.015268000000012910e-01,5.650714460000000328e-02
1.019364000000014120e-01,5.673856299999999880e-02
1.027555999999999747e-01,5.720138909999999965e-02
1.029150000000013665e-01,5.729144449999999666e-02
1.029650000000014720e-01,5.731969270000000088e-02
1.029813999999999868e-01,5.732894899999999710e-02
1.030141000000004414e-01,5.734746169999999782e-02
1.030797000000012315e-01,5.738448709999999925e-02
1.032107000000012514e-01,5.745853800000000344e-02
1.034729000000011584e-01,5.760663969999999662e-02
1.039972000000010388e-01,5.790284579999999820e-02
1.050458000000008135e-01,5.849528200000000261e-02
1.071429000000004017e-01,5.968036990000000208e-02
1.100266000000014177e-01,6.131077089999999868e-02
1.100276000000008081e-01,6.131133639999999940e-02
1.100296000000012819e-01,6.131246759999999657e-02
1.100336000000005504e-01,6.131472980000000211e-02
1.100366000000004285e-01,6.131642650000000000e-02
1.100373999999999380e-01,6.131687899999999775e-02
1.100390000000006641e-01,6.131778389999999884e-02
1.100422000000004091e-01,6.131959370000000104e-02
1.100486000000016062e-01,6.132321339999999982e-02
1.100614000000006004e-01,6.133045270000000299e-02
1.100870000000002957e-01,6.134493139999999678e-02
1.101382000000013656e-01,6.137388919999999665e-02
1.102406000000001191e-01,6.143180620000000119e-02
1.104454000000010400e-01,6.154764620000000019e-02
1.108550000000011609e-01,6.177935050000000344e-02
1.115836000000005601e-01,6.219159469999999829e-02
1.116654999999999176e-01,6.223795299999999864e-02
1.118293000000003395e-01,6.233067330000000017e-02
1.118336000000011154e-01,6.233307290000000139e-02
1.118420000000010933e-01,6.233787209999999690e-02
1.118590000000009160e-01,6.234747040000000046e-02
1.118836000000012210e-01,6.236136999999999930e-02
1.118869000000009134e-01,6.236328969999999777e-02
1.118937000000001653e-01,6.236712910000000165e-02
1.119073000000003759e-01,6.237480790000000247e-02
1.119336000000013265e-01,6.238966769999999828e-02
1.119363000000013764e-01,6.239120349999999898e-02
1.119417000000014900e-01,6.239427499999999904e-02
