 frequency       v(inoise_spectrum) v(onoise_spectrum)
 8.14500001e+01  2.53055348e-06  2.45351461e-06 
 8.33282151e+01  2.49712573e-06  2.42110452e-06 
 8.52497412e+01  2.46416270e-06  2.38914500e-06 
 8.72155772e+01  2.43165823e-06  2.35763008e-06 
 8.92267449e+01  2.39960623e-06  2.32655386e-06 
 9.12842895e+01  2.36800071e-06  2.29591052e-06 
 9.33892805e+01  2.33683575e-06  2.26569434e-06 
 9.55428121e+01  2.30610553e-06  2.23589964e-06 
 9.77460036e+01  2.27580428e-06  2.20652087e-06 
 1.00000000e+02  2.24592634e-06  2.17755252e-06 
 1.02305973e+02  2.21646610e-06  2.14898916e-06 
 1.04665121e+02  2.18741807e-06  2.12082545e-06 
 1.07078670e+02  2.15877679e-06  2.09305611e-06 
 1.09547876e+02  2.13053690e-06  2.06567595e-06 
 1.12074020e+02  2.10269311e-06  2.03867982e-06 
 1.14658417e+02  2.07524021e-06  2.01206268e-06 
 1.17302409e+02  2.04817304e-06  1.98581954e-06 
 1.20007371e+02  2.02148654e-06  1.95994547e-06 
 1.22774708e+02  1.99517570e-06  1.93443562e-06 
 1.25605860e+02  1.96923559e-06  1.90928522e-06 
 1.28502297e+02  1.94366135e-06  1.88448954e-06 
 1.31465525e+02  1.91844816e-06  1.86004394e-06 
 1.34497085e+02  1.89359131e-06  1.83594382e-06 
 1.37598551e+02  1.86908613e-06  1.81218467e-06 
 1.40771537e+02  1.84492802e-06  1.78876201e-06 
 1.44017690e+02  1.82111243e-06  1.76567145e-06 
 1.47338699e+02  1.79763490e-06  1.74290866e-06 
 1.50736290e+02  1.77449101e-06  1.72046936e-06 
 1.54212228e+02  1.75167642e-06  1.69834932e-06 
 1.57768320e+02  1.72918682e-06  1.67654439e-06 
 1.61406415e+02  1.70701799e-06  1.65505046e-06 
 1.65128404e+02  1.68516576e-06  1.63386349e-06 
 1.68936220e+02  1.66362602e-06  1.61297949e-06 
 1.72831844e+02  1.64239469e-06  1.59239452e-06 
 1.76817299e+02  1.62146779e-06  1.57210471e-06 
 1.80894658e+02  1.60084137e-06  1.55210623e-06 
 1.85066040e+02  1.58051153e-06  1.53239530e-06 
 1.89333613e+02  1.56047443e-06  1.51296821e-06 
 1.93699595e+02  1.54072630e-06  1.49382128e-06 
 1.98166255e+02  1.52126340e-06  1.47495090e-06 
 2.02735916e+02  1.50208205e-06  1.45635350e-06 
 2.07410951e+02  1.48317862e-06  1.43802556e-06 
 2.12193792e+02  1.46454952e-06  1.41996360e-06 
 2.17086923e+02  1.44619124e-06  1.40216421e-06 
 2.22092889e+02  1.42810028e-06  1.38462400e-06 
 2.27214291e+02  1.41027321e-06  1.36733966e-06 
 2.32453791e+02  1.39270665e-06  1.35030788e-06 
 2.37814113e+02  1.37539725e-06  1.33352545e-06 
 2.43298042e+02  1.35834172e-06  1.31698915e-06 
 2.48908429e+02  1.34153681e-06  1.30069585e-06 
 2.54648190e+02  1.32497932e-06  1.28464243e-06 
 2.60520309e+02  1.30866608e-06  1.26882582e-06 
 2.66527837e+02  1.29259397e-06  1.25324301e-06 
 2.72673897e+02  1.27675993e-06  1.23789102e-06 
 2.78961683e+02  1.26116091e-06  1.22276689e-06 
 2.85394464e+02  1.24579392e-06  1.20786773e-06 
 2.91975583e+02  1.23065602e-06  1.19319068e-06 
 2.98708461e+02  1.21574428e-06  1.17873291e-06 
 3.05596598e+02  1.20105583e-06  1.16449164e-06 
 3.12643573e+02  1.18658784e-06  1.15046411e-06 
 3.19853049e+02  1.17233752e-06  1.13664762e-06 
 3.27228774e+02  1.15830209e-06  1.12303949e-06 
 3.34774581e+02  1.14447885e-06  1.10963707e-06 
 3.42494392e+02  1.13086509e-06  1.09643778e-06 
