 frequency       v(inoise_spectrum) v(onoise_spectrum)
 4.30193027e+00  7.39615370e-06  2.64531080e-04 
 4.40113162e+00  7.29579678e-06  2.60941712e-04 
 4.50262052e+00  7.19680249e-06  2.57401078e-04 
 4.60644974e+00  7.09915231e-06  2.53908519e-04 
 4.71267322e+00  7.00282798e-06  2.50463380e-04 
 4.82134619e+00  6.90781150e-06  2.47065017e-04 
 4.93252513e+00  6.81408511e-06  2.43712796e-04 
 5.04626783e+00  6.72163128e-06  2.40406089e-04 
 5.16263340e+00  6.63043274e-06  2.37144279e-04 
 5.28168234e+00  6.54047242e-06  2.33926755e-04 
 5.40347650e+00  6.45173352e-06  2.30752917e-04 
 5.52807921e+00  6.36419944e-06  2.27622170e-04 
 5.65555523e+00  6.27785383e-06  2.24533930e-04 
 5.78597080e+00  6.19268053e-06  2.21487619e-04 
 5.91939372e+00  6.10866364e-06  2.18482668e-04 
 6.05589334e+00  6.02578743e-06  2.15518515e-04 
 6.19554061e+00  5.94403643e-06  2.12594606e-04 
 6.33840810e+00  5.86339535e-06  2.09710394e-04 
 6.48457008e+00  5.78384911e-06  2.06865341e-04 
 6.63410251e+00  5.70538285e-06  2.04058914e-04 
 6.78708313e+00  5.62798189e-06  2.01290588e-04 
 6.94359143e+00  5.55163177e-06  1.98559847e-04 
 7.10370877e+00  5.47631822e-06  1.95866181e-04 
 7.26751838e+00  5.40202716e-06  1.93209084e-04 
 7.43510539e+00  5.32874470e-06  1.90588061e-04 
 7.60655691e+00  5.25645715e-06  1.88002622e-04 
 7.78196206e+00  5.18515099e-06  1.85452284e-04 
 7.96141200e+00  5.11481289e-06  1.82936569e-04 
 8.14500001e+00  5.04542971e-06  1.80455008e-04 
 8.33282151e+00  4.97698848e-06  1.78007136e-04 
 8.52497412e+00  4.90947641e-06  1.75592497e-04 
 8.72155772e+00  4.84288087e-06  1.73210639e-04 
 8.92267449e+00  4.77718942e-06  1.70861116e-04 
 9.12842895e+00  4.71238978e-06  1.68543490e-04 
 9.33892805e+00  4.64846984e-06  1.66257328e-04 
 9.55428121e+00  4.58541765e-06  1.64002201e-04 
 9.77460036e+00  4.52322143e-06  1.61777689e-04 
 1.00000000e+01  4.46186955e-06  1.59583375e-04 
 1.02305973e+01  4.40135054e-06  1.57418851e-04 
 1.04665121e+01  4.34165310e-06  1.55283710e-04 
 1.07078670e+01  4.28276607e-06  1.53177554e-04 
 1.09547876e+01  4.22467844e-06  1.51099990e-04 
 1.12074020e+01  4.16737936e-06  1.49050629e-04 
 1.14658417e+01  4.11085811e-06  1.47029088e-04 
 1.17302409e+01  4.05510413e-06  1.45034990e-04 
 1.20007371e+01  4.00010700e-06  1.43067961e-04 
 1.22774708e+01  3.94585645e-06  1.41127634e-04 
 1.25605860e+01  3.89234234e-06  1.39213646e-04 
 1.28502297e+01  3.83955466e-06  1.37325640e-04 
 1.31465525e+01  3.78748354e-06  1.35463263e-04 
 1.34497085e+01  3.73611927e-06  1.33626167e-04 
 1.37598551e+01  3.68545223e-06  1.31814008e-04 
 1.40771537e+01  3.63547297e-06  1.30026448e-04 
 1.44017690e+01  3.58617213e-06  1.28263152e-04 
 1.47338699e+01  3.53754051e-06  1.26523792e-04 
 1.50736290e+01  3.48956902e-06  1.24808042e-04 
 1.54212228e+01  3.44224870e-06  1.23115582e-04 
 1.57768320e+01  3.39557069e-06  1.21446095e-04 
 1.61406415e+01  3.34952629e-06  1.19799269e-04 
 1.65128404e+01  3.30410688e-06  1.18174797e-04 
 1.68936220e+01  3.25930397e-06  1.16572375e-04 
 1.72831844e+01  3.21510920e-06  1.14991703e-04 
 1.76817299e+01  3.17151431e-06  1.13432487e-04 
 1.80894658e+01  3.12851115e-06  1.11894434e-04 
 1.85066040e+01  3.08609168e-06  1.10377258e-04 
 1.89333613e+01  3.04424798e-06  1.08880675e-04 
 1.93699595e+01  3.00297223e-06  1.07404405e-04 
 1.98166255e+01  2.96225672e-06  1.05948173e-04 
 2.02735916e+01  2.92209383e-06  1.04511706e-04 
 2.07410951e+01  2.88247608e-06  1.03094736e-04 
 2.12193792e+01  2.84339604e-06  1.01696998e-04 
 2.17086923e+01  2.80484643e-06  1.00318231e-04 
 2.22092889e+01  2.76682003e-06  9.89581776e-05 
 2.27214291e+01  2.72930975e-06  9.76165835e-05 
 2.32453791e+01  2.69230857e-06  9.62931981e-05 
 2.37814113e+01  2.65580958e-06  9.49877740e-05 
 2.43298042e+01  2.61980596e-06  9.37000674e-05 
 2.48908429e+01  2.58429099e-06  9.24298378e-05 
 2.54648190e+01  2.54925803e-06  9.11768477e-05 
 2.60520309e+01  2.51470053e-06  8.99408631e-05 
 2.66527837e+01  2.48061204e-06  8.87216531e-05 
 2.72673897e+01  2.44698619e-06  8.75189898e-05 
 2.78961683e+01  2.41381670e-06  8.63326486e-05 
 2.85394464e+01  2.38109737e-06  8.51624080e-05 
 2.91975583e+01  2.34882209e-06  8.40080491e-05 
 2.98708461e+01  2.31698482e-06  8.28693564e-05 
 3.05596598e+01  2.28557963e-06  8.17461172e-05 
 3.12643573e+01  2.25460064e-06  8.06381216e-05 
 3.19853049e+01  2.22404207e-06  7.95451627e-05 
 3.27228774e+01  2.19389820e-06  7.84670362e-05 
 3.34774581e+01  2.16416341e-06  7.74035408e-05 
 3.42494392e+01  2.13483215e-06  7.63544777e-05 
 3.50392221e+01  2.10589892e-06  7.53196511e-05 
 3.58472171e+01  2.07735834e-06  7.42988677e-05 
 3.66738442e+01  2.04920506e-06  7.32919366e-05 
 3.75195331e+01  2.02143384e-06  7.22986699e-05 
 3.83847234e+01  1.99403947e-06  7.13188821e-05 
 3.92698648e+01  1.96701684e-06  7.03523900e-05 
 4.01754173e+01  1.94036092e-06  6.93990132e-05 
 4.11018515e+01  1.91406671e-06  6.84585736e-05 
 4.20496491e+01  1.88812930e-06  6.75308955e-05 
 4.30193027e+01  1.86254386e-06  6.66158057e-05 
 4.40113162e+01  1.83730560e-06  6.57131332e-05 
 4.50262052e+01  1.81240981e-06  6.48227095e-05 
 4.60644974e+01  1.78785183e-06  6.39443682e-05 
 4.71267322e+01  1.76362709e-06  6.30779453e-05 
 4.82134619e+01  1.73973106e-06  6.22232789e-05 
 4.93252513e+01  1.71615927e-06  6.13802095e-05 
 5.04626783e+01  1.69290732e-06  6.05485796e-05 
 5.16263340e+01  1.66997087e-06  5.97282338e-05 
 5.28168234e+01  1.64734564e-06  5.89190190e-05 
 5.40347650e+01  1.62502740e-06  5.81207841e-05 
 5.52807921e+01  1.60301198e-06  5.73333799e-05 
 5.65555523e+01  1.58129528e-06  5.65566594e-05 
 5.78597080e+01  1.55987323e-06  5.57904775e-05 
 5.91939372e+01  1.53874183e-06  5.50346913e-05 
 6.05589334e+01  1.51789714e-06  5.42891595e-05 
 6.19554061e+01  1.49733527e-06  5.35537429e-05 
 6.33840810e+01  1.47705237e-06  5.28283042e-05 
 6.48457008e+01  1.45704467e-06  5.21127079e-05 
 6.63410251e+01  1.43730842e-06  5.14068204e-05 
 6.78708313e+01  1.41783993e-06  5.07105099e-05 
 6.94359143e+01  1.39863558e-06  5.00236464e-05 
 7.10370877e+01  1.37969177e-06  4.93461016e-05 
 7.26751838e+01  1.36100498e-06  4.86777490e-05 
 7.43510539e+01  1.34257170e-06  4.80184638e-05 
 7.60655691e+01  1.32438850e-06  4.73681229e-05 
