 v-sweep         v(vinp)         v(voutp)        v(voutn)       
-1.37800000e+00  6.10000000e-02  7.94035496e-02  1.43987767e+00 
-1.37700000e+00  6.15000000e-02  7.94331542e-02  1.43987487e+00 
-1.37600000e+00  6.20000000e-02  7.94628000e-02  1.43987208e+00 
-1.37500000e+00  6.25000000e-02  7.94924872e-02  1.43986929e+00 
-1.37400000e+00  6.30000000e-02  7.95222158e-02  1.43986650e+00 
-1.37300000e+00  6.35000000e-02  7.95519858e-02  1.43986371e+00 
-1.37200000e+00  6.40000000e-02  7.95817974e-02  1.43986092e+00 
-1.37100000e+00  6.45000000e-02  7.96116505e-02  1.43985814e+00 
-1.37000000e+00  6.50000000e-02  7.96415452e-02  1.43985535e+00 
-1.36900000e+00  6.55000000e-02  7.96714815e-02  1.43985257e+00 
-1.36800000e+00  6.60000000e-02  7.97014596e-02  1.43984979e+00 
-1.36700000e+00  6.65000000e-02  7.97314795e-02  1.43984701e+00 
-1.36600000e+00  6.70000000e-02  7.97615412e-02  1.43984423e+00 
-1.36500000e+00  6.75000000e-02  7.97916448e-02  1.43984145e+00 
-1.36400000e+00  6.80000000e-02  7.98217904e-02  1.43983868e+00 
-1.36300000e+00  6.85000000e-02  7.98519779e-02  1.43983590e+00 
-1.36200000e+00  6.90000000e-02  7.98822075e-02  1.43983313e+00 
-1.36100000e+00  6.95000000e-02  7.99124792e-02  1.43983036e+00 
-1.36000000e+00  7.00000000e-02  7.99427931e-02  1.43982759e+00 
-1.35900000e+00  7.05000000e-02  7.99731492e-02  1.43982482e+00 
-1.35800000e+00  7.10000000e-02  8.00035476e-02  1.43982205e+00 
-1.35700000e+00  7.15000000e-02  8.00339883e-02  1.43981928e+00 
-1.35600000e+00  7.20000000e-02  8.00644713e-02  1.43981651e+00 
-1.35500000e+00  7.25000000e-02  8.00949969e-02  1.43981375e+00 
-1.35400000e+00  7.30000000e-02  8.01255649e-02  1.43981098e+00 
-1.35300000e+00  7.35000000e-02  8.01561755e-02  1.43980822e+00 
-1.35200000e+00  7.40000000e-02  8.01868287e-02  1.43980546e+00 
-1.35100000e+00  7.45000000e-02  8.02175245e-02  1.43980269e+00 
-1.35000000e+00  7.50000000e-02  8.02482631e-02  1.43979993e+00 
-1.34900000e+00  7.55000000e-02  8.02790444e-02  1.43979717e+00 
-1.34800000e+00  7.60000000e-02  8.03098686e-02  1.43979441e+00 
-1.34700000e+00  7.65000000e-02  8.03407357e-02  1.43979166e+00 
-1.34600000e+00  7.70000000e-02  8.03716457e-02  1.43978890e+00 
-1.34500000e+00  7.75000000e-02  8.04025987e-02  1.43978614e+00 
-1.34400000e+00  7.80000000e-02  8.04335947e-02  1.43978339e+00 
-1.34300000e+00  7.85000000e-02  8.04646339e-02  1.43978063e+00 
-1.34200000e+00  7.90000000e-02  8.04957162e-02  1.43977788e+00 
-1.34100000e+00  7.95000000e-02  8.05268418e-02  1.43977512e+00 
-1.34000000e+00  8.00000000e-02  8.05580106e-02  1.43977237e+00 
-1.33900000e+00  8.05000000e-02  8.05892228e-02  1.43976962e+00 
-1.33800000e+00  8.10000000e-02  8.06204784e-02  1.43976687e+00 
-1.33700000e+00  8.15000000e-02  8.06517774e-02  1.43976411e+00 
-1.33600000e+00  8.20000000e-02  8.06831199e-02  1.43976136e+00 
-1.33500000e+00  8.25000000e-02  8.07145060e-02  1.43975861e+00 
-1.33400000e+00  8.30000000e-02  8.07459357e-02  1.43975586e+00 
-1.33300000e+00  8.35000000e-02  8.07774090e-02  1.43975311e+00 
-1.33200000e+00  8.40000000e-02  8.08089261e-02  1.43975036e+00 
-1.33100000e+00  8.45000000e-02  8.08404870e-02  1.43974762e+00 
-1.33000000e+00  8.50000000e-02  8.08720917e-02  1.43974487e+00 
-1.32900000e+00  8.55000000e-02  8.09037404e-02  1.43974212e+00 
-1.32800000e+00  8.60000000e-02  8.09354329e-02  1.43973937e+00 
-1.32700000e+00  8.65000000e-02  8.09671695e-02  1.43973662e+00 
-1.32600000e+00  8.70000000e-02  8.09989502e-02  1.43973387e+00 
-1.32500000e+00  8.75000000e-02  8.10307750e-02  1.43973113e+00 
-1.32400000e+00  8.80000000e-02  8.10626440e-02  1.43972838e+00 
-1.32300000e+00  8.85000000e-02  8.10945572e-02  1.43972563e+00 
-1.32200000e+00  8.90000000e-02  8.11265147e-02  1.43972288e+00 
-1.32100000e+00  8.95000000e-02  8.11585166e-02  1.43972014e+00 
-1.32000000e+00  9.00000000e-02  8.11905629e-02  1.43971739e+00 
-1.31900000e+00  9.05000000e-02  8.12226537e-02  1.43971464e+00 
-1.31800000e+00  9.10000000e-02  8.12547890e-02  1.43971189e+00 
-1.31700000e+00  9.15000000e-02  8.12869689e-02  1.43970915e+00 
-1.31600000e+00  9.20000000e-02  8.13191934e-02  1.43970640e+00 
-1.31500000e+00  9.25000000e-02  8.13514626e-02  1.43970365e+00 
-1.31400000e+00  9.30000000e-02  8.13837766e-02  1.43970090e+00 
-1.31300000e+00  9.35000000e-02  8.14161355e-02  1.43969815e+00 
-1.31200000e+00  9.40000000e-02  8.14485392e-02  1.43969540e+00 
-1.31100000e+00  9.45000000e-02  8.14809878e-02  1.43969265e+00 
-1.31000000e+00  9.50000000e-02  8.15134815e-02  1.43968990e+00 
-1.30900000e+00  9.55000000e-02  8.15460202e-02  1.43968715e+00 
-1.30800000e+00  9.60000000e-02  8.15786040e-02  1.43968440e+00 
-1.30700000e+00  9.65000000e-02  8.16112330e-02  1.43968164e+00 
-1.30600000e+00  9.70000000e-02  8.16439072e-02  1.43967889e+00 
-1.30500000e+00  9.75000000e-02  8.16766267e-02  1.43967614e+00 
-1.30400000e+00  9.80000000e-02  8.17093916e-02  1.43967338e+00 
-1.30300000e+00  9.85000000e-02  8.17422019e-02  1.43967062e+00 
-1.30200000e+00  9.90000000e-02  8.17750576e-02  1.43966787e+00 
-1.30100000e+00  9.95000000e-02  8.18079589e-02  1.43966511e+00 
-1.30000000e+00  1.00000000e-01  8.18409058e-02  1.43966235e+00 
-1.29900000e+00  1.00500000e-01  8.18738983e-02  1.43965959e+00 
-1.29800000e+00  1.01000000e-01  8.19069366e-02  1.43965683e+00 
-1.29700000e+00  1.01500000e-01  8.19400206e-02  1.43965407e+00 
-1.29600000e+00  1.02000000e-01  8.19731504e-02  1.43965130e+00 
-1.29500000e+00  1.02500000e-01  8.20063262e-02  1.43964854e+00 
-1.29400000e+00  1.03000000e-01  8.20395479e-02  1.43964577e+00 
-1.29300000e+00  1.03500000e-01  8.20728156e-02  1.43964301e+00 
-1.29200000e+00  1.04000000e-01  8.21061294e-02  1.43964024e+00 
-1.29100000e+00  1.04500000e-01  8.21394893e-02  1.43963747e+00 
-1.29000000e+00  1.05000000e-01  8.21728955e-02  1.43963469e+00 
-1.28900000e+00  1.05500000e-01  8.22063479e-02  1.43963192e+00 
-1.28800000e+00  1.06000000e-01  8.22398466e-02  1.43962915e+00 
-1.28700000e+00  1.06500000e-01  8.22733917e-02  1.43962637e+00 
-1.28600000e+00  1.07000000e-01  8.23069833e-02  1.43962359e+00 
-1.28500000e+00  1.07500000e-01  8.23406214e-02  1.43962081e+00 
-1.28400000e+00  1.08000000e-01  8.23743060e-02  1.43961803e+00 
-1.28300000e+00  1.08500000e-01  8.24080373e-02  1.43961524e+00 
-1.28200000e+00  1.09000000e-01  8.24418153e-02  1.43961245e+00 
-1.28100000e+00  1.09500000e-01  8.24756401e-02  1.43960966e+00 
-1.28000000e+00  1.10000000e-01  8.25095117e-02  1.43960687e+00 
-1.27900000e+00  1.10500000e-01  8.25434302e-02  1.43960408e+00 
-1.27800000e+00  1.11000000e-01  8.25773957e-02  1.43960128e+00 
-1.27700000e+00  1.11500000e-01  8.26114082e-02  1.43959848e+00 
-1.27600000e+00  1.12000000e-01  8.26454677e-02  1.43959568e+00 
-1.27500000e+00  1.12500000e-01  8.26795745e-02  1.43959288e+00 
-1.27400000e+00  1.13000000e-01  8.27137284e-02  1.43959007e+00 
-1.27300000e+00  1.13500000e-01  8.27479297e-02  1.43958726e+00 
-1.27200000e+00  1.14000000e-01  8.27821782e-02  1.43958445e+00 
-1.27100000e+00  1.14500000e-01  8.28164742e-02  1.43958164e+00 
-1.27000000e+00  1.15000000e-01  8.28508177e-02  1.43957882e+00 
-1.26900000e+00  1.15500000e-01  8.28852088e-02  1.43957600e+00 
-1.26800000e+00  1.16000000e-01  8.29196474e-02  1.43957317e+00 
-1.26700000e+00  1.16500000e-01  8.29541338e-02  1.43957035e+00 
-1.26600000e+00  1.17000000e-01  8.29886679e-02  1.43956752e+00 
-1.26500000e+00  1.17500000e-01  8.30232498e-02  1.43956468e+00 
-1.26400000e+00  1.18000000e-01  8.30578796e-02  1.43956185e+00 
-1.26300000e+00  1.18500000e-01  8.30925574e-02  1.43955900e+00 
-1.26200000e+00  1.19000000e-01  8.31272832e-02  1.43955616e+00 
-1.26100000e+00  1.19500000e-01  8.31620571e-02  1.43955331e+00 
-1.26000000e+00  1.20000000e-01  8.31968792e-02  1.43955046e+00 
-1.25900000e+00  1.20500000e-01  8.32317495e-02  1.43954760e+00 
-1.25800000e+00  1.21000000e-01  8.32666681e-02  1.43954474e+00 
-1.25700000e+00  1.21500000e-01  8.33016351e-02  1.43954188e+00 
-1.25600000e+00  1.22000000e-01  8.33366506e-02  1.43953901e+00 
-1.25500000e+00  1.22500000e-01  8.33717145e-02  1.43953614e+00 
-1.25400000e+00  1.23000000e-01  8.34068271e-02  1.43953326e+00 
-1.25300000e+00  1.23500000e-01  8.34419883e-02  1.43953038e+00 
-1.25200000e+00  1.24000000e-01  8.34771983e-02  1.43952750e+00 
-1.25100000e+00  1.24500000e-01  8.35124571e-02  1.43952461e+00 
-1.25000000e+00  1.25000000e-01  8.35477647e-02  1.43952171e+00 
