 time            v(vin_tg)       v(vout_tg_on)   v(vout_tg_off) 
 1.09280000e-03  1.16294798e+00  1.16294765e+00  6.93017064e-01 
 1.10280000e-03  1.20144490e+00  1.20144460e+00  6.93372616e-01 
 1.11280000e-03  1.23816017e+00  1.23815990e+00  6.93706625e-01 
 1.12280000e-03  1.27294890e+00  1.27294865e+00  6.94018893e-01 
 1.13280000e-03  1.30567378e+00  1.30567356e+00  6.94311813e-01 
 1.14280000e-03  1.33620568e+00  1.33620547e+00  6.94593827e-01 
 1.15280000e-03  1.36442409e+00  1.36442390e+00  6.94886271e-01 
 1.16280000e-03  1.39021765e+00  1.39021748e+00  6.95235014e-01 
 1.17280000e-03  1.41348456e+00  1.41348441e+00  6.95726736e-01 
 1.18280000e-03  1.43413301e+00  1.43413287e+00  6.96505513e-01 
 1.19280000e-03  1.45208149e+00  1.45208137e+00  6.97779067e-01 
 1.20280000e-03  1.46725918e+00  1.46725907e+00  6.99799287e-01 
 1.21280000e-03  1.47960617e+00  1.47960608e+00  7.02805284e-01 
 1.22280000e-03  1.48907374e+00  1.48907366e+00  7.06934289e-01 
 1.23280000e-03  1.49562453e+00  1.49562447e+00  7.12131266e-01 
 1.24280000e-03  1.49923267e+00  1.49923263e+00  7.18104727e-01 
 1.25280000e-03  1.49988394e+00  1.49988391e+00  7.24364987e-01 
 1.26280000e-03  1.49757575e+00  1.49757574e+00  7.30341533e-01 
 1.27280000e-03  1.49231723e+00  1.49231724e+00  7.35532429e-01 
 1.28280000e-03  1.48412912e+00  1.48412914e+00  7.39621688e-01 
 1.29280000e-03  1.47304374e+00  1.47304378e+00  7.42521159e-01 
 1.30280000e-03  1.45910483e+00  1.45910489e+00  7.44335069e-01 
 1.31280000e-03  1.44236741e+00  1.44236749e+00  7.45279562e-01 
 1.32280000e-03  1.42289754e+00  1.42289763e+00  7.45599055e-01 
 1.33280000e-03  1.40077204e+00  1.40077215e+00  7.45508024e-01 
 1.34280000e-03  1.37607825e+00  1.37607838e+00  7.45165806e-01 
 1.35280000e-03  1.34891360e+00  1.34891376e+00  7.44676572e-01 
 1.36280000e-03  1.31938533e+00  1.31938550e+00  7.44101749e-01 
 1.37280000e-03  1.28760994e+00  1.28761014e+00  7.43474717e-01 
 1.38280000e-03  1.25371286e+00  1.25371308e+00  7.42812665e-01 
 1.39280000e-03  1.21782785e+00  1.21782810e+00  7.42124371e-01 
 1.40280000e-03  1.18009654e+00  1.18009681e+00  7.41414627e-01 
 1.41280000e-03  1.14066784e+00  1.14066814e+00  7.40686492e-01 
 1.42280000e-03  1.09969734e+00  1.09969768e+00  7.39942342e-01 
 1.43280000e-03  1.05734676e+00  1.05734714e+00  7.39184319e-01 
 1.44280000e-03  1.01378321e+00  1.01378363e+00  7.38414507e-01 
 1.45280000e-03  9.69178632e-01  9.69179111e-01  7.37634997e-01 
 1.46280000e-03  9.23709057e-01  9.23709586e-01  7.36847908e-01 
 1.47280000e-03  8.77553931e-01  8.77554504e-01  7.36055385e-01 
 1.48280000e-03  8.30895409e-01  8.30896015e-01  7.35259600e-01 
 1.49280000e-03  7.83917629e-01  7.83918255e-01  7.34462736e-01 
 1.50280000e-03  7.36805991e-01  7.36806630e-01  7.33666988e-01 
 1.51280000e-03  6.89746425e-01  6.89747055e-01  7.32874547e-01 
 1.52280000e-03  6.42924652e-01  6.42925252e-01  7.32087589e-01 
 1.53280000e-03  5.96525456e-01  5.96526019e-01  7.31308280e-01 
 1.54280000e-03  5.50731954e-01  5.50732469e-01  7.30538755e-01 
 1.55280000e-03  5.05724872e-01  5.05725334e-01  7.29781116e-01 
 1.56280000e-03  4.61681832e-01  4.61682243e-01  7.29037419e-01 
 1.57280000e-03  4.18776653e-01  4.18777019e-01  7.28309670e-01 
 1.58280000e-03  3.77178661e-01  3.77178990e-01  7.27599808e-01 
 1.59280000e-03  3.37052024e-01  3.37052322e-01  7.26909696e-01 
 1.60280000e-03  2.98555104e-01  2.98555376e-01  7.26241083e-01 
 1.61280000e-03  2.61839831e-01  2.61840080e-01  7.25595516e-01 
 1.62280000e-03  2.27051103e-01  2.27051332e-01  7.24974112e-01 
 1.63280000e-03  1.94326216e-01  1.94326426e-01  7.24377000e-01 
 1.64280000e-03  1.63794319e-01  1.63794512e-01  7.23802079e-01 
 1.65280000e-03  1.35575908e-01  1.35576086e-01  7.23242576e-01 
 1.66280000e-03  1.09782348e-01  1.09782512e-01  7.22682906e-01 
 1.67280000e-03  8.65154352e-02  8.65155852e-02  7.22092893e-01 
 1.68280000e-03  6.58669925e-02  6.58671294e-02  7.21421884e-01 
 1.69280000e-03  4.79185103e-02  4.79186342e-02  7.20596486e-01 
 1.70280000e-03  3.27408229e-02  3.27409340e-02  7.19527306e-01 
 1.71280000e-03  2.03938299e-02  2.03939280e-02  7.18128825e-01 
 1.72280000e-03  1.09262590e-02  1.09263440e-02  7.16350737e-01 
 1.73280000e-03  4.37547462e-03  4.37554593e-03  7.14210247e-01 
 1.74280000e-03  7.67329559e-04  7.67386715e-04  7.11818272e-01 
 1.75280000e-03  1.16063554e-04  1.16106084e-04  7.09332920e-01 
 1.76280000e-03  2.42424686e-03  2.42427415e-03  7.06967534e-01 
 1.77280000e-03  7.68277012e-03  7.68278149e-03  7.04898701e-01 
 1.78280000e-03  1.58708804e-02  1.58708752e-02  7.03246006e-01 
 1.79280000e-03  2.69562628e-02  2.69562406e-02  7.02044893e-01 
 1.80280000e-03  4.08951686e-02  4.08951287e-02  7.01259586e-01 
 1.81280000e-03  5.76325872e-02  5.76325290e-02  7.00812332e-01 
 1.82280000e-03  7.71024637e-02  7.71023866e-02  7.00614122e-01 
 1.83280000e-03  9.92279593e-02  9.92278629e-02  7.00586262e-01 
 1.84280000e-03  1.23921755e-01  1.23921638e-01  7.00669860e-01 
 1.85280000e-03  1.51086395e-01  1.51086258e-01  7.00826004e-01 
 1.86280000e-03  1.80614674e-01  1.80614515e-01  7.01031325e-01 
 1.87280000e-03  2.12390056e-01  2.12389875e-01  7.01272645e-01 
 1.88280000e-03  2.46287140e-01  2.46286934e-01  7.01542662e-01 
 1.89280000e-03  2.82172148e-01  2.82171916e-01  7.01837099e-01 
 1.90280000e-03  3.19903458e-01  3.19903197e-01  7.02153089e-01 
 1.91280000e-03  3.59332164e-01  3.59331870e-01  7.02488349e-01 
 1.92280000e-03  4.00302656e-01  4.00302326e-01  7.02840801e-01 
 1.93280000e-03  4.42653245e-01  4.42652870e-01  7.03208412e-01 
 1.94280000e-03  4.86216790e-01  4.86216365e-01  7.03589131e-01 
 1.95280000e-03  5.30821368e-01  5.30820886e-01  7.03980876e-01 
 1.96280000e-03  5.76290943e-01  5.76290407e-01  7.04381528e-01 
 1.97280000e-03  6.22446069e-01  6.22445486e-01  7.04788934e-01 
 1.98280000e-03  6.69104591e-01  6.69103975e-01  7.05200919e-01 
 1.99280000e-03  7.16082371e-01  7.16081730e-01  7.05615295e-01 
 2.00280000e-03  7.63194009e-01  7.63193362e-01  7.06029861e-01 
 2.01280000e-03  8.10253575e-01  8.10252945e-01  7.06442420e-01 
 2.02280000e-03  8.57075348e-01  8.57074742e-01  7.06850784e-01 
 2.03280000e-03  9.03474544e-01  9.03473974e-01  7.07252785e-01 
 2.04280000e-03  9.49268046e-01  9.49267520e-01  7.07646280e-01 
 2.05280000e-03  9.94275128e-01  9.94274651e-01  7.08029165e-01 
 2.06280000e-03  1.03831817e+00  1.03831774e+00  7.08399377e-01 
 2.07280000e-03  1.08122335e+00  1.08122296e+00  7.08754908e-01 
 2.08280000e-03  1.12282134e+00  1.12282099e+00  7.09093820e-01 
 2.09280000e-03  1.16294798e+00  1.16294765e+00  7.09414273e-01 
 2.10280000e-03  1.20144490e+00  1.20144460e+00  7.09714609e-01 
 2.11280000e-03  1.23816017e+00  1.23815990e+00  7.09993579e-01 
 2.12280000e-03  1.27294890e+00  1.27294865e+00  7.10250959e-01 
 2.13280000e-03  1.30567378e+00  1.30567356e+00  7.10489071e-01 
 2.14280000e-03  1.33620568e+00  1.33620547e+00  7.10716194e-01 
 2.15280000e-03  1.36442409e+00  1.36442390e+00  7.10953285e-01 
 2.16280000e-03  1.39021765e+00  1.39021748e+00  7.11245449e-01 
 2.17280000e-03  1.41348456e+00  1.41348441e+00  7.11677964e-01 
 2.18280000e-03  1.43413301e+00  1.43413287e+00  7.12392639e-01 
 2.19280000e-03  1.45208149e+00  1.45208137e+00  7.13594002e-01 
 2.20280000e-03  1.46725918e+00  1.46725907e+00  7.15530175e-01 
 2.21280000e-03  1.47960617e+00  1.47960608e+00  7.18436843e-01 
 2.22280000e-03  1.48907374e+00  1.48907366e+00  7.22449487e-01 
 2.23280000e-03  1.49562453e+00  1.49562447e+00  7.27514285e-01 
 2.24280000e-03  1.49923267e+00  1.49923263e+00  7.33344416e-01 
 2.25280000e-03  1.49988394e+00  1.49988391e+00  7.39457587e-01 
 2.26280000e-03  1.49757575e+00  1.49757574e+00  7.45291587e-01 
 2.27280000e-03  1.49231723e+00  1.49231724e+00  7.50351566e-01 
 2.28280000e-03  1.48412912e+00  1.48412914e+00  7.54325843e-01 
 2.29280000e-03  1.47304374e+00  1.47304378e+00  7.57127328e-01 
 2.30280000e-03  1.45910483e+00  1.45910489e+00  7.58858634e-01 
 2.31280000e-03  1.44236741e+00  1.44236749e+00  7.59732773e-01 
 2.32280000e-03  1.42289754e+00  1.42289763e+00  7.59990665e-01 
 2.33280000e-03  1.40077204e+00  1.40077215e+00  7.59843732e-01 
 2.34280000e-03  1.37607825e+00  1.37607838e+00  7.59449039e-01 
 2.35280000e-03  1.34891360e+00  1.34891376e+00  7.58909274e-01 
 2.36280000e-03  1.31938533e+00  1.31938550e+00  7.58284991e-01 
 2.37280000e-03  1.28760994e+00  1.28761014e+00  7.57609103e-01 
 2.38280000e-03  1.25371286e+00  1.25371308e+00  7.56898569e-01 
 2.39280000e-03  1.21782785e+00  1.21782810e+00  7.56162060e-01 
 2.40280000e-03  1.18009654e+00  1.18009681e+00  7.55404320e-01 
 2.41280000e-03  1.14066784e+00  1.14066814e+00  7.54628391e-01 
 2.42280000e-03  1.09969734e+00  1.09969768e+00  7.53836641e-01 
 2.43280000e-03  1.05734676e+00  1.05734714e+00  7.53031207e-01 
 2.44280000e-03  1.01378321e+00  1.01378363e+00  7.52214172e-01 
 2.45280000e-03  9.69178632e-01  9.69179111e-01  7.51387624e-01 
 2.46280000e-03  9.23709057e-01  9.23709586e-01  7.50553682e-01 
 2.47280000e-03  8.77553931e-01  8.77554504e-01  7.49714491e-01 
 2.48280000e-03  8.30895409e-01  8.30896015e-01  7.48872220e-01 
 2.49280000e-03  7.83917629e-01  7.83918255e-01  7.48029051e-01 
 2.50280000e-03  7.36805991e-01  7.36806630e-01  7.47187178e-01 
 2.51280000e-03  6.89746425e-01  6.89747055e-01  7.46348790e-01 
 2.52280000e-03  6.42924652e-01  6.42925252e-01  7.45516062e-01 
 2.53280000e-03  5.96525456e-01  5.96526019e-01  7.44691158e-01 
 2.54280000e-03  5.50731954e-01  5.50732469e-01  7.43876213e-01 
 2.55280000e-03  5.05724872e-01  5.05725334e-01  7.43073326e-01 
 2.56280000e-03  4.61681832e-01  4.61682243e-01  7.42284552e-01 
 2.57280000e-03  4.18776653e-01  4.18777019e-01  7.41511894e-01 
 2.58280000e-03  3.77178661e-01  3.77178990e-01  7.40757291e-01 
 2.59280000e-03  3.37052024e-01  3.37052322e-01  7.40022603e-01 
 2.60280000e-03  2.98555104e-01  2.98555376e-01  7.39309577e-01 
 2.61280000e-03  2.61839831e-01  2.61840080e-01  7.38619755e-01 
 2.62280000e-03  2.27051103e-01  2.27051332e-01  7.37954244e-01 
 2.63280000e-03  1.94326216e-01  1.94326426e-01  7.37313150e-01 
 2.64280000e-03  1.63794319e-01  1.63794512e-01  7.36694315e-01 
 2.65280000e-03  1.35575908e-01  1.35576086e-01  7.36090850e-01 
 2.66280000e-03  1.09782348e-01  1.09782512e-01  7.35486937e-01 
 2.67280000e-03  8.65154352e-02  8.65155852e-02  7.34851985e-01 
 2.68280000e-03  6.58669925e-02  6.58671294e-02  7.34134678e-01 
 2.69280000e-03  4.79185103e-02  4.79186342e-02  7.33260705e-01 
 2.70280000e-03  3.27408229e-02  3.27409340e-02  7.32139594e-01 
 2.71280000e-03  2.03938299e-02  2.03939280e-02  7.30684840e-01 
 2.72280000e-03  1.09262590e-02  1.09263440e-02  7.28845605e-01 
 2.73280000e-03  4.37547462e-03  4.37554593e-03  7.26639383e-01 
 2.74280000e-03  7.67329559e-04  7.67386715e-04  7.24178464e-01 
 2.75280000e-03  1.16063554e-04  1.16106084e-04  7.21622882e-01 
 2.76280000e-03  2.42424686e-03  2.42427415e-03  7.19188515e-01 
 2.77280000e-03  7.68277012e-03  7.68278149e-03  7.17054036e-01 
 2.78280000e-03  1.58708804e-02  1.58708752e-02  7.15340451e-01 
 2.79280000e-03  2.69562628e-02  2.69562406e-02  7.14083649e-01 
 2.80280000e-03  4.08951686e-02  4.08951287e-02  7.13247455e-01 
 2.81280000e-03  5.76325872e-02  5.76325290e-02  7.12753216e-01 
 2.82280000e-03  7.71024637e-02  7.71023866e-02  7.12510872e-01 
 2.83280000e-03  9.92279593e-02  9.92278629e-02  7.12440787e-01 
 2.84280000e-03  1.23921755e-01  1.23921638e-01  7.12483350e-01 
 2.85280000e-03  1.51086395e-01  1.51086258e-01  7.12599175e-01 
 2.86280000e-03  1.80614674e-01  1.80614515e-01  7.12764603e-01 
 2.87280000e-03  2.12390056e-01  2.12389875e-01  7.12966302e-01 
 2.88280000e-03  2.46287140e-01  2.46286934e-01  7.13196891e-01 
 2.89280000e-03  2.82172148e-01  2.82171916e-01  7.13452056e-01 
 2.90280000e-03  3.19903458e-01  3.19903197e-01  7.13728913e-01 
 2.91280000e-03  3.59332164e-01  3.59331870e-01  7.14025172e-01 
 2.92280000e-03  4.00302656e-01  4.00302326e-01  7.14338752e-01 
 2.93280000e-03  4.42653245e-01  4.42652870e-01  7.14667618e-01 
 2.94280000e-03  4.86216790e-01  4.86216365e-01  7.15009720e-01 
 2.95280000e-03  5.30821368e-01  5.30820886e-01  7.15362975e-01 
 2.96280000e-03  5.76290943e-01  5.76290407e-01  7.15725262e-01 
 2.97280000e-03  6.22446069e-01  6.22445486e-01  7.16094429e-01 
 2.98280000e-03  6.69104591e-01  6.69103975e-01  7.16468302e-01 
 2.99280000e-03  7.16082371e-01  7.16081730e-01  7.16844691e-01 
 3.00280000e-03  7.63194009e-01  7.63193362e-01  7.17221395e-01 
 3.01280000e-03  8.10253575e-01  8.10252945e-01  7.17596217e-01 
 3.02280000e-03  8.57075348e-01  8.57074742e-01  7.17966969e-01 
 3.03280000e-03  9.03474544e-01  9.03473974e-01  7.18331483e-01 
 3.04280000e-03  9.49268046e-01  9.49267520e-01  7.18687616e-01 
 3.05280000e-03  9.94275128e-01  9.94274651e-01  7.19033263e-01 
 3.06280000e-03  1.03831817e+00  1.03831774e+00  7.19366360e-01 
 3.07280000e-03  1.08122335e+00  1.08122296e+00  7.19684901e-01 
 3.08280000e-03  1.12282134e+00  1.12282099e+00  7.19986946e-01 
 3.09280000e-03  1.16294798e+00  1.16294765e+00  7.20270656e-01 
 3.10280000e-03  1.20144490e+00  1.20144460e+00  7.20534370e-01 
 3.11280000e-03  1.23816017e+00  1.23815990e+00  7.20776833e-01 
 3.12280000e-03  1.27294890e+00  1.27294865e+00  7.20997803e-01 
 3.13280000e-03  1.30567378e+00  1.30567356e+00  7.21199562e-01 
 3.14280000e-03  1.33620568e+00  1.33620547e+00  7.21390275e-01 
 3.15280000e-03  1.36442409e+00  1.36442390e+00  7.21590657e-01 
 3.16280000e-03  1.39021765e+00  1.39021748e+00  7.21845311e-01 
 3.17280000e-03  1.41348456e+00  1.41348441e+00  7.22238602e-01 
 3.18280000e-03  1.43413301e+00  1.43413287e+00  7.22910857e-01 
 3.19280000e-03  1.45208149e+00  1.45208137e+00  7.24064517e-01 
 3.20280000e-03  1.46725918e+00  1.46725907e+00  7.25945240e-01 
 3.21280000e-03  1.47960617e+00  1.47960608e+00  7.28786462e-01 
 3.22280000e-03  1.48907374e+00  1.48907366e+00  7.32722516e-01 
 3.23280000e-03  1.49562453e+00  1.49562447e+00  7.37700357e-01 
 3.24280000e-03  1.49923267e+00  1.49923263e+00  7.43436205e-01 
 3.25280000e-03  1.49988394e+00  1.49988391e+00  7.49452593e-01 
 3.26280000e-03  1.49757575e+00  1.49757574e+00  7.55192739e-01 
 3.27280000e-03  1.49231723e+00  1.49231724e+00  7.60166435e-01 
 3.28280000e-03  1.48412912e+00  1.48412914e+00  7.64064823e-01 
