 time            v(vin)          v(vinp)         v(vinn)         v(voutp)        v(voutn)        v(vout)        
 8.09380580e-06  5.52062046e-02  1.35000000e+00  1.50000000e-01  9.30917760e-01  5.74099131e-01  3.56818630e-01 
 8.09391741e-06  5.52717681e-02  1.05000000e+00  4.50000000e-01  9.30888557e-01  5.74123862e-01  3.56764695e-01 
 8.09414062e-06  5.54028938e-02  4.50000000e-01  1.05000000e+00  9.30830146e-01  5.74173335e-01  3.56656811e-01 
 8.09430804e-06  5.55012369e-02 -0.00000000e+00  1.50000000e+00  9.30786335e-01  5.74210450e-01  3.56575886e-01 
 8.09435268e-06  5.55274616e-02 -0.00000000e+00  1.50000000e+00  9.30774652e-01  5.74220349e-01  3.56554304e-01 
 8.09444196e-06  5.55799107e-02 -0.00000000e+00  1.50000000e+00  9.30751286e-01  5.74240148e-01  3.56511137e-01 
 8.09462054e-06  5.56848082e-02 -0.00000000e+00  1.50000000e+00  9.30704551e-01  5.74279756e-01  3.56424795e-01 
 8.09497768e-06  5.58945999e-02 -0.00000000e+00  1.50000000e+00  9.30611074e-01  5.74358999e-01  3.56252075e-01 
 8.09556116e-06  5.62373386e-02 -0.00000000e+00  1.50000000e+00  9.30458316e-01  5.74488534e-01  3.55969782e-01 
 8.09630162e-06  5.66722675e-02 -0.00000000e+00  1.50000000e+00  9.30264359e-01  5.74653014e-01  3.55611344e-01 
 8.09759921e-06  5.74343961e-02 -0.00000000e+00  1.50000000e+00  9.29924135e-01  5.74941476e-01  3.54982659e-01 
 8.10013152e-06  5.89215518e-02 -0.00000000e+00  1.50000000e+00  9.29259033e-01  5.75505374e-01  3.53753659e-01 
 8.10212054e-06  6.00894877e-02 -0.00000000e+00  1.50000000e+00  9.28735709e-01  5.75949346e-01  3.52786363e-01 
 8.10217634e-06  6.01222530e-02  1.50000000e-01  1.35000000e+00  9.28721015e-01  5.75961817e-01  3.52759199e-01 
 8.10228795e-06  6.01877832e-02  4.50000000e-01  1.05000000e+00  9.28691626e-01  5.75986759e-01  3.52704867e-01 
 8.10251116e-06  6.03188423e-02  1.05000000e+00  4.50000000e-01  9.28632843e-01  5.76036655e-01  3.52596187e-01 
 8.10267857e-06  6.04171354e-02  1.50000000e+00  4.55391280e-12  9.28588751e-01  5.76074087e-01  3.52514663e-01 
 8.10272321e-06  6.04433467e-02  1.50000000e+00  2.22044605e-16  9.28576992e-01  5.76084071e-01  3.52492921e-01 
 8.10281250e-06  6.04957691e-02  1.50000000e+00  2.22044605e-16  9.28553475e-01  5.76104040e-01  3.52449435e-01 
 8.10299107e-06  6.06006130e-02  1.50000000e+00  2.22044605e-16  9.28506437e-01  5.76143985e-01  3.52362452e-01 
 8.10334821e-06  6.08102973e-02  1.50000000e+00  2.22044605e-16  9.28412347e-01  5.76223901e-01  3.52188446e-01 
 8.10393170e-06  6.11528603e-02  1.50000000e+00  2.22044605e-16  9.28258577e-01  5.76354533e-01  3.51904045e-01 
 8.10467216e-06  6.15875646e-02  1.50000000e+00  2.22044605e-16  9.28063335e-01  5.76520410e-01  3.51542925e-01 
 8.10596975e-06  6.23492964e-02  1.50000000e+00  2.22044605e-16  9.27720888e-01  5.76811331e-01  3.50909557e-01 
 8.10850206e-06  6.38356628e-02  1.50000000e+00  2.22044605e-16  9.27051603e-01  5.77379979e-01  3.49671624e-01 
 8.11160714e-06  6.56578771e-02  1.50000000e+00  2.22044605e-16  9.26229371e-01  5.78079072e-01  3.48150298e-01 
 8.11166295e-06  6.56906218e-02  1.35000000e+00  1.50000000e-01  9.26214578e-01  5.78091656e-01  3.48122922e-01 
 8.11177455e-06  6.57561109e-02  1.05000000e+00  4.50000000e-01  9.26184991e-01  5.78116826e-01  3.48068165e-01 
 8.11199777e-06  6.58870877e-02  4.50000000e-01  1.05000000e+00  9.26125813e-01  5.78167174e-01  3.47958639e-01 
 8.11216518e-06  6.59853189e-02  4.55369076e-12  1.50000000e+00  9.26081426e-01  5.78204945e-01  3.47876481e-01 
 8.11220982e-06  6.60115137e-02 -0.00000000e+00  1.50000000e+00  9.26069590e-01  5.78215019e-01  3.47854570e-01 
 8.11229911e-06  6.60639030e-02 -0.00000000e+00  1.50000000e+00  9.26045916e-01  5.78235169e-01  3.47810747e-01 
 8.11247768e-06  6.61686808e-02 -0.00000000e+00  1.50000000e+00  9.25998568e-01  5.78275478e-01  3.47723090e-01 
 8.11283482e-06  6.63782323e-02 -0.00000000e+00  1.50000000e+00  9.25903863e-01  5.78356124e-01  3.47547739e-01 
 8.11341831e-06  6.67205770e-02 -0.00000000e+00  1.50000000e+00  9.25749098e-01  5.78487951e-01  3.47261148e-01 
 8.11415876e-06  6.71550027e-02 -0.00000000e+00  1.50000000e+00  9.25552594e-01  5.78655342e-01  3.46897252e-01 
 8.11545635e-06  6.79162409e-02 -0.00000000e+00  1.50000000e+00  9.25207902e-01  5.78948909e-01  3.46258993e-01 
 8.11798866e-06  6.94016276e-02 -0.00000000e+00  1.50000000e+00  9.24534069e-01  5.79522778e-01  3.45011290e-01 
 8.11997768e-06  7.05681449e-02 -0.00000000e+00  1.50000000e+00  9.24003885e-01  5.79974597e-01  3.44029288e-01 
 8.12003348e-06  7.06008700e-02  1.50000000e-01  1.35000000e+00  9.23988999e-01  5.79987288e-01  3.44001710e-01 
 8.12014509e-06  7.06663199e-02  4.50000000e-01  1.05000000e+00  9.23959225e-01  5.80012672e-01  3.43946553e-01 
 8.12036830e-06  7.07972179e-02  1.05000000e+00  4.50000000e-01  9.23899671e-01  5.80063449e-01  3.43836222e-01 
 8.12053571e-06  7.08953900e-02  1.50000000e+00  2.22044605e-16  9.23855002e-01  5.80101542e-01  3.43753460e-01 
 8.12058036e-06  7.09215690e-02  1.50000000e+00  2.22044605e-16  9.23843090e-01  5.80111702e-01  3.43731387e-01 
 8.12066964e-06  7.09739268e-02  1.50000000e+00  2.22044605e-16  9.23819264e-01  5.80132024e-01  3.43687240e-01 
 8.12084821e-06  7.10786413e-02  1.50000000e+00  2.22044605e-16  9.23771610e-01  5.80172674e-01  3.43598936e-01 
 8.12120536e-06  7.12880662e-02  1.50000000e+00  2.22044605e-16  9.23676289e-01  5.80254003e-01  3.43422287e-01 
 8.12178884e-06  7.16302036e-02  1.50000000e+00  2.22044605e-16  9.23520509e-01  5.80386941e-01  3.43133568e-01 
 8.12252930e-06  7.20643646e-02  1.50000000e+00  2.22044605e-16  9.23322714e-01  5.80555746e-01  3.42766968e-01 
 8.12382690e-06  7.28251357e-02  1.50000000e+00  2.22044605e-16  9.22975794e-01  5.80851799e-01  3.42123994e-01 
 8.12635921e-06  7.43095962e-02  1.50000000e+00  2.22044605e-16  9.22297780e-01  5.81430465e-01  3.40867315e-01 
 8.12946429e-06  7.61294167e-02  1.50000000e+00  2.22044605e-16  9.21464862e-01  5.82141848e-01  3.39323013e-01 
 8.12952009e-06  7.61621179e-02  1.35000000e+00  1.50000000e-01  9.21449877e-01  5.82154653e-01  3.39295224e-01 
 8.12963170e-06  7.62275198e-02  1.05000000e+00  4.50000000e-01  9.21419907e-01  5.82180265e-01  3.39239642e-01 
 8.12985491e-06  7.63583218e-02  4.50000000e-01  1.05000000e+00  9.21359961e-01  5.82231497e-01  3.39128464e-01 
 8.13002232e-06  7.64564218e-02 -0.00000000e+00  1.50000000e+00  9.21314999e-01  5.82269931e-01  3.39045069e-01 
 8.13006696e-06  7.64825815e-02 -0.00000000e+00  1.50000000e+00  9.21303009e-01  5.82280182e-01  3.39022827e-01 
 8.13015625e-06  7.65349008e-02 -0.00000000e+00  1.50000000e+00  9.21279029e-01  5.82300686e-01  3.38978343e-01 
 8.13033482e-06  7.66395382e-02 -0.00000000e+00  1.50000000e+00  9.21231067e-01  5.82341701e-01  3.38889366e-01 
 8.13069196e-06  7.68488084e-02 -0.00000000e+00  1.50000000e+00  9.21135137e-01  5.82423762e-01  3.38711374e-01 
 8.13127545e-06  7.71906917e-02 -0.00000000e+00  1.50000000e+00  9.20978370e-01  5.82557901e-01  3.38420469e-01 
 8.13201591e-06  7.76245287e-02 -0.00000000e+00  1.50000000e+00  9.20779326e-01  5.82728226e-01  3.38051100e-01 
 8.13331350e-06  7.83847268e-02 -0.00000000e+00  1.50000000e+00  9.20430186e-01  5.83026929e-01  3.37403257e-01 
 8.13584580e-06  7.98680523e-02 -0.00000000e+00  1.50000000e+00  9.19747686e-01  5.83610816e-01  3.36136871e-01 
 8.13783482e-06  8.10329216e-02  4.55364912e-12  1.50000000e+00  9.19210715e-01  5.84070498e-01  3.35140218e-01 
