 time            v(vinp1_IF)     v(vinn1_IF)     v(vinp2_IF)     v(vinn2_IF)     v(LO_I)         v(LO_IX)        v(LO_Q)         v(LO_QX)        v(vout_RF)      v(vout_RF_filt)
 1.34288207e-05  4.02100918e-01  1.09789908e+00  8.55707496e-02  1.41442925e+00  1.50000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.30156559e+00 -2.27923241e-01 
 1.34288281e-05  4.02104801e-01  1.09789520e+00  8.55687163e-02  1.41443128e+00  1.50000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.25694380e+00 -2.27779262e-01 
 1.34288366e-05  4.02109196e-01  1.09789080e+00  8.55664154e-02  1.41443358e+00  1.50000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.20788488e+00 -2.27611393e-01 
 1.34288455e-05  4.02113820e-01  1.09788618e+00  8.55639943e-02  1.41443601e+00  1.50000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.15952693e+00 -2.27425006e-01 
 1.34288558e-05  4.02119186e-01  1.09788081e+00  8.55611848e-02  1.41443882e+00  1.50000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.10808358e+00 -2.27195074e-01 
 1.34288695e-05  4.02126295e-01  1.09787371e+00  8.55574628e-02  1.41444254e+00  1.50000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.04705946e+00 -2.26869566e-01 
 1.34288902e-05  4.02137087e-01  1.09786291e+00  8.55518124e-02  1.41444819e+00  1.50000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  9.67183885e-01 -2.26337447e-01 
 1.34289227e-05  4.02153974e-01  1.09784603e+00  8.55429721e-02  1.41445703e+00  1.50000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  8.64987465e-01 -2.25435113e-01 
 1.34289731e-05  4.02180222e-01  1.09781978e+00  8.55292317e-02  1.41447077e+00  1.50000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  7.41905211e-01 -2.23916415e-01 
 1.34290740e-05  4.02232720e-01  1.09776728e+00  8.55017541e-02  1.41449825e+00  1.50000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  5.70674322e-01 -2.20610924e-01 
 1.34291799e-05  4.02287777e-01  1.09771222e+00  8.54729425e-02  1.41452706e+00  1.50000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  4.68626085e-01 -2.16852467e-01 
