 freq            v(vout_RF_filt_spec_db)
 4.22429738e+07 -1.08662338e+02 
 4.23675843e+07 -1.00659693e+02 
 4.24921948e+07 -9.69598222e+01 
 4.26168054e+07 -9.86125093e+01 
 4.27414159e+07 -1.03087543e+02 
 4.28660265e+07 -9.81428020e+01 
 4.29906370e+07 -9.90233069e+01 
 4.31152476e+07 -1.03842324e+02 
 4.32398581e+07 -9.93541803e+01 
 4.33644686e+07 -9.63482853e+01 
 4.34890792e+07 -1.00280812e+02 
 4.36136897e+07 -1.05171069e+02 
 4.37383003e+07 -1.02407068e+02 
 4.38629108e+07 -9.81965365e+01 
 4.39875213e+07 -9.76014477e+01 
 4.41121319e+07 -9.62389601e+01 
 4.42367424e+07 -9.93863472e+01 
 4.43613530e+07 -1.01338081e+02 
 4.44859635e+07 -9.77982640e+01 
 4.46105741e+07 -9.98435332e+01 
 4.47351846e+07 -1.16919270e+02 
 4.48597951e+07 -1.03024432e+02 
 4.49844057e+07 -9.91835384e+01 
 4.51090162e+07 -1.02187560e+02 
 4.52336268e+07 -1.02297044e+02 
 4.53582373e+07 -9.87974593e+01 
 4.54828479e+07 -1.00481749e+02 
 4.56074584e+07 -1.05789919e+02 
 4.57320689e+07 -1.04771221e+02 
 4.58566795e+07 -1.04263149e+02 
 4.59812900e+07 -1.07956249e+02 
 4.61059006e+07 -1.12108528e+02 
 4.62305111e+07 -1.03733775e+02 
 4.63551216e+07 -1.06341431e+02 
 4.64797322e+07 -1.15647540e+02 
 4.66043427e+07 -1.08462668e+02 
 4.67289533e+07 -9.67675029e+01 
 4.68535638e+07 -9.77132676e+01 
 4.69781744e+07 -1.07347228e+02 
 4.71027849e+07 -1.04228611e+02 
 4.72273954e+07 -9.72732722e+01 
 4.73520060e+07 -9.84618664e+01 
 4.74766165e+07 -1.04642099e+02 
 4.76012271e+07 -1.04367092e+02 
 4.77258376e+07 -1.03650906e+02 
 4.78504481e+07 -9.85932133e+01 
 4.79750587e+07 -9.66394886e+01 
 4.80996692e+07 -1.00510976e+02 
 4.82242798e+07 -9.99661025e+01 
 4.83488903e+07 -9.41942498e+01 
 4.84735009e+07 -9.33975542e+01 
 4.85981114e+07 -9.56919457e+01 
 4.87227219e+07 -9.51273333e+01 
 4.88473325e+07 -9.58834372e+01 
 4.89719430e+07 -1.02732521e+02 
 4.90965536e+07 -1.09951202e+02 
 4.92211641e+07 -9.83118844e+01 
 4.93457747e+07 -9.72885109e+01 
 4.94703852e+07 -1.09201543e+02 
 4.95949957e+07 -1.07630912e+02 
 4.97196063e+07 -1.01397471e+02 
 4.98442168e+07 -1.00521268e+02 
 4.99688274e+07 -1.05629314e+02 
 5.00934379e+07 -1.19234479e+02 
 5.02180484e+07 -1.04489574e+02 
 5.03426590e+07 -1.03557244e+02 
 5.04672695e+07 -1.12092670e+02 
 5.05918801e+07 -1.08815806e+02 
 5.07164906e+07 -1.00775269e+02 
 5.08411012e+07 -9.75079780e+01 
 5.09657117e+07 -9.91428238e+01 
 5.10903222e+07 -1.04782137e+02 
 5.12149328e+07 -9.65581950e+01 
 5.13395433e+07 -9.22304852e+01 
 5.14641539e+07 -9.49506238e+01 
 5.15887644e+07 -9.90455858e+01 
 5.17133750e+07 -9.35591622e+01 
 5.18379855e+07 -9.37950408e+01 
 5.19625960e+07 -9.81205267e+01 
 5.20872066e+07 -9.98453804e+01 
 5.22118171e+07 -9.31973966e+01 
 5.23364277e+07 -9.56157906e+01 
 5.24610382e+07 -1.17308423e+02 
 5.25856487e+07 -1.00918084e+02 
 5.27102593e+07 -9.83696187e+01 
 5.28348698e+07 -1.00801154e+02 
 5.29594804e+07 -1.02910957e+02 
 5.30840909e+07 -9.51226133e+01 
 5.32087015e+07 -1.01921147e+02 
 5.33333120e+07 -1.06344368e+02 
 5.34579225e+07 -1.02295087e+02 
 5.35825331e+07 -9.93185534e+01 
 5.37071436e+07 -1.00151077e+02 
 5.38317542e+07 -1.06200138e+02 
 5.39563647e+07 -1.00185166e+02 
 5.40809753e+07 -1.06119864e+02 
 5.42055858e+07 -1.10673310e+02 
 5.43301963e+07 -9.74429526e+01 
 5.44548069e+07 -9.09155643e+01 
 5.45794174e+07 -9.06914545e+01 
 5.47040280e+07 -9.33500726e+01 
 5.48286385e+07 -8.74819173e+01 
 5.49532490e+07 -8.72736519e+01 
 5.50778596e+07 -9.25004979e+01 
 5.52024701e+07 -9.80728492e+01 
 5.53270807e+07 -8.81676567e+01 
 5.54516912e+07 -8.43926896e+01 
 5.55763018e+07 -8.84271257e+01 
 5.57009123e+07 -8.54309268e+01 
 5.58255228e+07 -8.44055449e+01 
 5.59501334e+07 -9.00302666e+01 
 5.60747439e+07 -9.16216916e+01 
 5.61993545e+07 -8.18099156e+01 
 5.63239650e+07 -8.14804410e+01 
 5.64485756e+07 -8.78471786e+01 
 5.65731861e+07 -8.98471403e+01 
 5.66977966e+07 -8.48021897e+01 
 5.68224072e+07 -8.57241424e+01 
 5.69470177e+07 -9.17630370e+01 
 5.70716283e+07 -9.12668539e+01 
 5.71962388e+07 -9.19421122e+01 
 5.73208493e+07 -9.79187055e+01 
 5.74454599e+07 -1.00395491e+02 
 5.75700704e+07 -9.36878692e+01 
 5.76946810e+07 -9.36928643e+01 
 5.78192915e+07 -1.01206899e+02 
 5.79439021e+07 -1.10577728e+02 
 5.80685126e+07 -9.71125117e+01 
 5.81931231e+07 -9.79036490e+01 
 5.83177337e+07 -1.02819758e+02 
 5.84423442e+07 -1.22578083e+02 
 5.85669548e+07 -1.00680515e+02 
 5.86915653e+07 -1.00354997e+02 
 5.88161759e+07 -9.98143004e+01 
 5.89407864e+07 -9.63222838e+01 
 5.90653969e+07 -9.67214266e+01 
 5.91900075e+07 -1.06916111e+02 
 5.93146180e+07 -1.06354693e+02 
 5.94392286e+07 -9.78518009e+01 
 5.95638391e+07 -9.90404090e+01 
 5.96884496e+07 -1.02048907e+02 
 5.98130602e+07 -9.67841059e+01 
 5.99376707e+07 -9.54772266e+01 
 6.00622813e+07 -9.68805240e+01 
 6.01868918e+07 -9.65730486e+01 
 6.03115024e+07 -9.82938656e+01 
 6.04361129e+07 -9.81622542e+01 
 6.05607234e+07 -1.06778454e+02 
 6.06853340e+07 -9.81947750e+01 
 6.08099445e+07 -9.60672575e+01 
 6.09345551e+07 -9.90852304e+01 
 6.10591656e+07 -1.15972576e+02 
 6.11837761e+07 -1.07626030e+02 
