 time            v(vinp_Q)       v(vinn_Q)       v(vinp_I)       v(vinn_I)       v(LO_I)         v(LO_IX)        v(LO_Q)         v(LO_QX)        v(vout_RF)      v(vout_RF_filt)
 8.02699060e-06 -0.00000000e+00  1.50000000e+00  5.50738145e-01  9.49261855e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.50000000e+00  4.59996194e-01 -2.88136224e-01 
 8.02699501e-06 -0.00000000e+00  1.50000000e+00  5.62576994e-01  9.37423006e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.50000000e+00  4.68598766e-01 -2.88270111e-01 
 8.02699931e-06 -0.00000000e+00  1.50000000e+00  5.74143928e-01  9.25856072e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.50000000e+00  4.77205013e-01 -2.88400315e-01 
 8.02700297e-06 -0.00000000e+00  1.50000000e+00  5.83993068e-01  9.16006932e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.50000000e+00  4.84086284e-01 -2.88512250e-01 
 8.02700743e-06 -0.00000000e+00  1.50000000e+00  5.95975537e-01  9.04024463e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.50000000e+00  4.91491309e-01 -2.88650802e-01 
 8.02701225e-06 -0.00000000e+00  1.50000000e+00  6.08914652e-01  8.91085348e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.50000000e+00  4.98242416e-01 -2.88803465e-01 
 8.02701882e-06 -0.00000000e+00  1.50000000e+00  6.26593841e-01  8.73406159e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.50000000e+00  5.05653522e-01 -2.89016446e-01 
 8.02702743e-06 -0.00000000e+00  1.50000000e+00  6.49721410e-01  8.50278590e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.50000000e+00  5.12889224e-01 -2.89300887e-01 
 8.02703962e-06 -0.00000000e+00  1.50000000e+00  6.82501144e-01  8.17498856e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.50000000e+00  5.19835378e-01 -2.89711525e-01 
 8.02705311e-06 -0.00000000e+00  1.50000000e+00  7.18763701e-01  7.81236299e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.50000000e+00  5.24654985e-01 -2.90171710e-01 
 8.02706800e-06 -0.00000000e+00  1.50000000e+00  7.58796827e-01  7.41203173e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.50000000e+00  5.28052263e-01 -2.90682880e-01 
 8.02708388e-06 -0.00000000e+00  1.50000000e+00  8.01475684e-01  6.98524316e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.50000000e+00  5.30589157e-01 -2.91228494e-01 
 8.02710402e-06 -0.00000000e+00  1.50000000e+00  8.55619144e-01  6.44380856e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.50000000e+00  5.33163293e-01 -2.91919140e-01 
