 time            v(vinp)         v(vinn)         v(voutp)        v(voutn)        v(vout)        
 8.01791754e-06  1.50000000e+00 -0.00000000e+00  9.19310434e-01  5.83995559e-01  3.35314875e-01 
 8.01796874e-06  1.50000000e+00 -0.00000000e+00  9.19297251e-01  5.84006852e-01  3.35290399e-01 
 8.01807114e-06  1.50000000e+00 -0.00000000e+00  9.19270884e-01  5.84029438e-01  3.35241445e-01 
 8.01827594e-06  1.50000000e+00 -0.00000000e+00  9.19218150e-01  5.84074615e-01  3.35143535e-01 
 8.01868554e-06  1.50000000e+00 -0.00000000e+00  9.19112686e-01  5.84164986e-01  3.34947700e-01 
 8.01941414e-06  1.50000000e+00 -0.00000000e+00  9.18925093e-01  5.84325797e-01  3.34599296e-01 
 8.01949606e-06  1.50000000e+00 -0.00000000e+00  9.18904001e-01  5.84343883e-01  3.34560118e-01 
 8.01965990e-06  1.50000000e+00 -0.00000000e+00  9.18861818e-01  5.84380057e-01  3.34481761e-01 
 8.01966414e-06  1.50000000e+00 -0.00000000e+00  9.18860726e-01  5.84380993e-01  3.34479733e-01 
 8.01967262e-06  1.50000000e+00 -0.00000000e+00  9.18858542e-01  5.84382865e-01  3.34475677e-01 
 8.01968958e-06  1.50000000e+00 -0.00000000e+00  9.18854176e-01  5.84386610e-01  3.34467566e-01 
 8.01971414e-06  1.50000000e+00 -0.00000000e+00  9.18847852e-01  5.84392033e-01  3.34455820e-01 
 8.01971753e-06  1.50000000e+00 -0.00000000e+00  9.18846979e-01  5.84392782e-01  3.34454197e-01 
 8.01972432e-06  1.50000000e+00 -0.00000000e+00  9.18845232e-01  5.84394279e-01  3.34450953e-01 
 8.01973789e-06  1.50000000e+00 -0.00000000e+00  9.18841739e-01  5.84397275e-01  3.34444463e-01 
 8.01976502e-06  1.50000000e+00 -0.00000000e+00  9.18834752e-01  5.84403267e-01  3.34431485e-01 
 8.01981414e-06  1.50000000e+00 -0.00000000e+00  9.18822105e-01  5.84414113e-01  3.34407992e-01 
 8.01981957e-06  1.50000000e+00 -0.00000000e+00  9.18820707e-01  5.84415311e-01  3.34405396e-01 
 8.01983042e-06  1.50000000e+00 -0.00000000e+00  9.18817912e-01  5.84417708e-01  3.34400204e-01 
 8.01985213e-06  1.50000000e+00 -0.00000000e+00  9.18812323e-01  5.84422501e-01  3.34389821e-01 
 8.01986414e-06  1.50000000e+00 -0.00000000e+00  9.18809231e-01  5.84425153e-01  3.34384077e-01 
 8.01986848e-06  1.50000000e+00 -0.00000000e+00  9.18808113e-01  5.84426112e-01  3.34382001e-01 
 8.01987717e-06  1.50000000e+00 -0.00000000e+00  9.18805877e-01  5.84428029e-01  3.34377847e-01 
 8.01989454e-06  1.50000000e+00 -0.00000000e+00  9.18801405e-01  5.84431864e-01  3.34369541e-01 
 8.01992927e-06  1.50000000e+00 -0.00000000e+00  9.18792461e-01  5.84439534e-01  3.34352927e-01 
 8.01999874e-06  1.50000000e+00 -0.00000000e+00  9.18774574e-01  5.84454874e-01  3.34319700e-01 
 8.02013767e-06  1.50000000e+00 -0.00000000e+00  9.18738799e-01  5.84485555e-01  3.34253244e-01 
 8.02041555e-06  1.50000000e+00 -0.00000000e+00  9.18667242e-01  5.84546921e-01  3.34120321e-01 
 8.02097129e-06  1.50000000e+00 -0.00000000e+00  9.18524106e-01  5.84669668e-01  3.33854438e-01 
 8.02208278e-06  1.50000000e+00 -0.00000000e+00  9.18237733e-01  5.84915234e-01  3.33322499e-01 
 8.02430576e-06  1.50000000e+00 -0.00000000e+00  9.17664582e-01  5.85406797e-01  3.32257785e-01 
 8.02679571e-06  1.50000000e+00 -0.00000000e+00  9.17021890e-01  5.85958357e-01  3.31063532e-01 
 8.02679671e-06  1.50000000e+00 -0.00000000e+00  9.17021632e-01  5.85958579e-01  3.31063052e-01 
 8.02679871e-06  1.50000000e+00 -0.00000000e+00  9.17021115e-01  5.85959023e-01  3.31062092e-01 
 8.02680271e-06  1.50000000e+00 -0.00000000e+00  9.17020082e-01  5.85959910e-01  3.31060173e-01 
 8.02680571e-06  1.50000000e+00 -0.00000000e+00  9.17019307e-01  5.85960575e-01  3.31058733e-01 
 8.02680651e-06  1.50000000e+00 -0.00000000e+00  9.17019101e-01  5.85960752e-01  3.31058349e-01 
 8.02680811e-06  1.50000000e+00 -0.00000000e+00  9.17018687e-01  5.85961107e-01  3.31057581e-01 
 8.02681131e-06  1.50000000e+00 -0.00000000e+00  9.17017861e-01  5.85961817e-01  3.31056045e-01 
 8.02681771e-06  1.50000000e+00 -0.00000000e+00  9.17016208e-01  5.85963236e-01  3.31052973e-01 
 8.02683051e-06  1.50000000e+00 -0.00000000e+00  9.17012902e-01  5.85966074e-01  3.31046828e-01 
 8.02685611e-06  1.50000000e+00 -0.00000000e+00  9.17006291e-01  5.85971751e-01  3.31034540e-01 
 8.02690731e-06  1.50000000e+00 -0.00000000e+00  9.16993067e-01  5.85983104e-01  3.31009963e-01 
 8.02700971e-06  1.50000000e+00 -0.00000000e+00  9.16966618e-01  5.86005813e-01  3.30960806e-01 
 8.02721451e-06  1.50000000e+00 -0.00000000e+00  9.16913718e-01  5.86051238e-01  3.30862479e-01 
 8.02762411e-06  1.50000000e+00 -0.00000000e+00  9.16807904e-01  5.86142124e-01  3.30665781e-01 
 8.02844331e-06  1.50000000e+00 -0.00000000e+00  9.16596212e-01  5.86324025e-01  3.30272187e-01 
 8.02865271e-06  1.50000000e+00 -0.00000000e+00  9.16542084e-01  5.86370548e-01  3.30171536e-01 
 8.02870271e-06  1.50000000e+00 -0.00000000e+00  9.16529158e-01  5.86381659e-01  3.30147500e-01 
 8.02871910e-06  1.50000000e+00 -0.00000000e+00  9.16524923e-01  5.86385299e-01  3.30139623e-01 
 8.02875187e-06  1.50000000e+00 -0.00000000e+00  9.16516451e-01  5.86392581e-01  3.30123870e-01 
 8.02881740e-06  1.50000000e+00 -0.00000000e+00  9.16499508e-01  5.86407145e-01  3.30092363e-01 
 8.02894847e-06  1.50000000e+00 -0.00000000e+00  9.16465619e-01  5.86436276e-01  3.30029343e-01 
 8.02921062e-06  1.50000000e+00 -0.00000000e+00  9.16397827e-01  5.86494546e-01  3.29903281e-01 
 8.02973491e-06  1.50000000e+00 -0.00000000e+00  9.16262193e-01  5.86611128e-01  3.29651065e-01 
 8.03078348e-06  1.50000000e+00 -0.00000000e+00  9.15990704e-01  5.86844457e-01  3.29146247e-01 
 8.03288063e-06  1.50000000e+00 -0.00000000e+00  9.15446835e-01  5.87311933e-01  3.28134902e-01 
 8.03571429e-06  1.50000000e+00 -0.00000000e+00  9.14709933e-01  5.87945718e-01  3.26764215e-01 
 8.03607143e-06  1.50000000e+00 -0.00000000e+00  9.14616873e-01  5.88025810e-01  3.26591063e-01 
 8.03678571e-06  1.50000000e+00 -0.00000000e+00  9.14430666e-01  5.88186124e-01  3.26244542e-01 
 8.03762143e-06  1.50000000e+00 -0.00000000e+00  9.14212605e-01  5.88373941e-01  3.25838665e-01 
 8.03776429e-06  1.50000000e+00 -0.00000000e+00  9.14175304e-01  5.88406077e-01  3.25769227e-01 
 8.03787143e-06  1.50000000e+00 -0.00000000e+00  9.14147325e-01  5.88430182e-01  3.25717143e-01 
 8.03790000e-06  1.50000000e+00 -0.00000000e+00  9.14139863e-01  5.88436611e-01  3.25703252e-01 
 8.03792143e-06  1.50000000e+00 -0.00000000e+00  9.14134266e-01  5.88441432e-01  3.25692834e-01 
 8.03792714e-06  1.50000000e+00 -0.00000000e+00  9.14132774e-01  5.88442718e-01  3.25690056e-01 
 8.03793857e-06  1.50000000e+00 -0.00000000e+00  9.14129789e-01  5.88445290e-01  3.25684499e-01 
 8.03796143e-06  1.50000000e+00 -0.00000000e+00  9.14123819e-01  5.88450433e-01  3.25673386e-01 
 8.03797143e-06  1.50000000e+00 -0.00000000e+00  9.14121207e-01  5.88452683e-01  3.25668524e-01 
 8.03797600e-06  1.50000000e+00  6.85714560e-03  9.14120014e-01  5.88453713e-01  3.25666301e-01 
 8.03798514e-06  1.50000000e+00  2.05714368e-02  9.14117626e-01  5.88455770e-01  3.25661856e-01 
 8.03800343e-06  1.50000000e+00  4.80000192e-02  9.14112849e-01  5.88459885e-01  3.25652964e-01 
 8.03802143e-06  1.50000000e+00  7.50000000e-02  9.14108147e-01  5.88463935e-01  3.25644212e-01 
 8.03802509e-06  1.49451428e+00  8.04857165e-02  9.14107191e-01  5.88464757e-01  3.25642433e-01 
 8.03803240e-06  1.48354285e+00  9.14571494e-02  9.14105280e-01  5.88466403e-01  3.25638877e-01 
 8.03804703e-06  1.46159998e+00  1.13400015e-01  9.14101458e-01  5.88469695e-01  3.25631763e-01 
 8.03807143e-06  1.42500000e+00  1.50000000e-01  9.14095084e-01  5.88475187e-01  3.25619898e-01 
 8.03807435e-06  1.42061143e+00  1.54388573e-01  9.14094320e-01  5.88475845e-01  3.25618475e-01 
 8.03808021e-06  1.41183428e+00  1.63165720e-01  9.14092791e-01  5.88477162e-01  3.25615629e-01 
 8.03809191e-06  1.39427999e+00  1.80720012e-01  9.14089734e-01  5.88479796e-01  3.25609938e-01 
 8.03811531e-06  1.35917140e+00  2.15828598e-01  9.14083619e-01  5.88485064e-01  3.25598555e-01 
 8.03816213e-06  1.28895423e+00  2.86045769e-01  9.14071389e-01  5.88495601e-01  3.25575789e-01 
 8.03825575e-06  1.14851989e+00  4.26480111e-01  9.14046926e-01  5.88516676e-01  3.25530250e-01 
 8.03844299e-06  8.67651206e-01  7.07348794e-01  9.13997989e-01  5.88558837e-01  3.25439151e-01 
 8.03876414e-06  3.85930594e-01  1.18906941e+00  9.13914020e-01  5.88631177e-01  3.25282843e-01 
 8.03900912e-06  1.84569755e-02  1.50000000e+00  9.13849936e-01  5.88686387e-01  3.25163549e-01 
 8.03916851e-06 -0.00000000e+00  1.50000000e+00  9.13808230e-01  5.88722317e-01  3.25085912e-01 
