 frequency       v(inoise_spectrum) v(onoise_spectrum)
 3.75195331e+01  1.64797429e-06  1.54703252e-06 
 3.83847234e+01  1.63005007e-06  1.53020619e-06 
 3.92698648e+01  1.61233730e-06  1.51357836e-06 
 4.01754173e+01  1.59483366e-06  1.49714686e-06 
 4.11018515e+01  1.57753687e-06  1.48090953e-06 
 4.20496491e+01  1.56044466e-06  1.46486425e-06 
 4.30193027e+01  1.54355481e-06  1.44900894e-06 
 4.40113162e+01  1.52686510e-06  1.43334151e-06 
 4.50262052e+01  1.51037335e-06  1.41785992e-06 
 4.60644974e+01  1.49407741e-06  1.40256213e-06 
 4.71267322e+01  1.47797514e-06  1.38744616e-06 
 4.82134619e+01  1.46206444e-06  1.37251002e-06 
 4.93252513e+01  1.44634322e-06  1.35775175e-06 
 5.04626783e+01  1.43080942e-06  1.34316943e-06 
 5.16263340e+01  1.41546100e-06  1.32876114e-06 
 5.28168234e+01  1.40029597e-06  1.31452500e-06 
 5.40347650e+01  1.38531232e-06  1.30045913e-06 
 5.52807921e+01  1.37050809e-06  1.28656169e-06 
 5.65555523e+01  1.35588135e-06  1.27283086e-06 
 5.78597080e+01  1.34143016e-06  1.25926484e-06 
 5.91939372e+01  1.32715263e-06  1.24586184e-06 
 6.05589334e+01  1.31304689e-06  1.23262010e-06 
 6.19554061e+01  1.29911108e-06  1.21953789e-06 
 6.33840810e+01  1.28534337e-06  1.20661348e-06 
 6.48457008e+01  1.27174195e-06  1.19384517e-06 
 6.63410251e+01  1.25830501e-06  1.18123127e-06 
 6.78708313e+01  1.24503081e-06  1.16877014e-06 
 6.94359143e+01  1.23191758e-06  1.15646012e-06 
 7.10370877e+01  1.21896359e-06  1.14429959e-06 
 7.26751838e+01  1.20616714e-06  1.13228695e-06 
 7.43510539e+01  1.19352653e-06  1.12042061e-06 
 7.60655691e+01  1.18104010e-06  1.10869900e-06 
 7.78196206e+01  1.16870619e-06  1.09712056e-06 
 7.96141200e+01  1.15652318e-06  1.08568378e-06 
 8.14500001e+01  1.14448944e-06  1.07438713e-06 
 8.33282151e+01  1.13260337e-06  1.06322911e-06 
 8.52497412e+01  1.12086342e-06  1.05220825e-06 
 8.72155772e+01  1.10926800e-06  1.04132308e-06 
 8.92267449e+01  1.09781559e-06  1.03057216e-06 
 9.12842895e+01  1.08650466e-06  1.01995404e-06 
 9.33892805e+01  1.07533370e-06  1.00946733e-06 
 9.55428121e+01  1.06430123e-06  9.99110614e-07 
 9.77460036e+01  1.05340576e-06  9.88882519e-07 
 1.00000000e+02  1.04264585e-06  9.78781674e-07 
 1.02305973e+02  1.03202006e-06  9.68806731e-07 
 1.04665121e+02  1.02152695e-06  9.58956351e-07 
 1.07078670e+02  1.01116514e-06  9.49229214e-07 
 1.09547876e+02  1.00093321e-06  9.39624015e-07 
 1.12074020e+02  9.90829802e-07  9.30139461e-07 
 1.14658417e+02  9.80853551e-07  9.20774275e-07 
 1.17302409e+02  9.71003112e-07  9.11527196e-07 
 1.20007371e+02  9.61277154e-07  9.02396972e-07 
 1.22774708e+02  9.51674363e-07  8.93382371e-07 
 1.25605860e+02  9.42193436e-07  8.84482170e-07 
 1.28502297e+02  9.32833088e-07  8.75695162e-07 
 1.31465525e+02  9.23592046e-07  8.67020153e-07 
 1.34497085e+02  9.14469051e-07  8.58455960e-07 
 1.37598551e+02  9.05462860e-07  8.50001416e-07 
 1.40771537e+02  8.96572240e-07  8.41655364e-07 
 1.44017690e+02  8.87795974e-07  8.33416663e-07 
 1.47338699e+02  8.79132858e-07  8.25284180e-07 
 1.50736290e+02  8.70581700e-07  8.17256797e-07 
 1.54212228e+02  8.62141321e-07  8.09333408e-07 
 1.57768320e+02  8.53810554e-07  8.01512918e-07 
 1.61406415e+02  8.45588247e-07  7.93794244e-07 
 1.65128404e+02  8.37473258e-07  7.86176314e-07 
 1.68936220e+02  8.29464457e-07  7.78658068e-07 
 1.72831844e+02  8.21560727e-07  7.71238457e-07 
 1.76817299e+02  8.13760961e-07  7.63916442e-07 
 1.80894658e+02  8.06064066e-07  7.56690997e-07 
 1.85066040e+02  7.98468958e-07  7.49561105e-07 
 1.89333613e+02  7.90974566e-07  7.42525760e-07 
 1.93699595e+02  7.83579829e-07  7.35583965e-07 
 1.98166255e+02  7.76283696e-07  7.28734734e-07 
 2.02735916e+02  7.69085129e-07  7.21977093e-07 
 2.07410951e+02  7.61983097e-07  7.15310076e-07 
 2.12193792e+02  7.54976583e-07  7.08732725e-07 
 2.17086923e+02  7.48064578e-07  7.02244094e-07 
 2.22092889e+02  7.41246084e-07  6.95843246e-07 
 2.27214291e+02  7.34520111e-07  6.89529252e-07 
 2.32453791e+02  7.27885681e-07  6.83301194e-07 
 2.37814113e+02  7.21341824e-07  6.77158160e-07 
 2.43298042e+02  7.14887579e-07  6.71099251e-07 
 2.48908429e+02  7.08521996e-07  6.65123572e-07 
 2.54648190e+02  7.02244132e-07  6.59230240e-07 
 2.60520309e+02  6.96053054e-07  6.53418378e-07 
 2.66527837e+02  6.89947838e-07  6.47687118e-07 
 2.72673897e+02  6.83927567e-07  6.42035601e-07 
 2.78961683e+02  6.77991335e-07  6.36462974e-07 
 2.85394464e+02  6.72138241e-07  6.30968393e-07 
 2.91975583e+02  6.66367394e-07  6.25551022e-07 
 2.98708461e+02  6.60677912e-07  6.20210032e-07 
 3.05596598e+02  6.55068919e-07  6.14944600e-07 
 3.12643573e+02  6.49539547e-07  6.09753913e-07 
 3.19853049e+02  6.44088937e-07  6.04637163e-07 
 3.27228774e+02  6.38716236e-07  5.99593550e-07 
 3.34774581e+02  6.33420598e-07  5.94622280e-07 
 3.42494392e+02  6.28201185e-07  5.89722566e-07 
 3.50392221e+02  6.23057167e-07  5.84893629e-07 
 3.58472171e+02  6.17987720e-07  5.80134695e-07 
 3.66738442e+02  6.12992026e-07  5.75444996e-07 
 3.75195331e+02  6.08069275e-07  5.70823773e-07 
 3.83847234e+02  6.03218663e-07  5.66270270e-07 
 3.92698648e+02  5.98439393e-07  5.61783738e-07 
 4.01754173e+02  5.93730673e-07  5.57363436e-07 
 4.11018515e+02  5.89091719e-07  5.53008627e-07 
 4.20496491e+02  5.84521753e-07  5.48718579e-07 
 4.30193027e+02  5.80020002e-07  5.44492568e-07 
 4.40113162e+02  5.75585699e-07  5.40329875e-07 
 4.50262052e+02  5.71218085e-07  5.36229784e-07 
 4.60644974e+02  5.66916403e-07  5.32191588e-07 
 4.71267322e+02  5.62679906e-07  5.28214584e-07 
 4.82134619e+02  5.58507850e-07  5.24298073e-07 
 4.93252513e+02  5.54399497e-07  5.20441363e-07 
 5.04626783e+02  5.50354114e-07  5.16643767e-07 
 5.16263340e+02  5.46370974e-07  5.12904601e-07 
 5.28168234e+02  5.42449357e-07  5.09223189e-07 
 5.40347650e+02  5.38588544e-07  5.05598858e-07 
 5.52807921e+02  5.34787826e-07  5.02030939e-07 
 5.65555523e+02  5.31046496e-07  4.98518771e-07 
 5.78597080e+02  5.27363852e-07  4.95061695e-07 
 5.91939372e+02  5.23739199e-07  4.91659058e-07 
 6.05589334e+02  5.20171846e-07  4.88310210e-07 
 6.19554061e+02  5.16661106e-07  4.85014508e-07 
 6.33840810e+02  5.13206297e-07  4.81771311e-07 
 6.48457008e+02  5.09806744e-07  4.78579985e-07 
 6.63410251e+02  5.06461775e-07  4.75439900e-07 
 6.78708313e+02  5.03170721e-07  4.72350427e-07 
 6.94359143e+02  4.99932922e-07  4.69310947e-07 
 7.10370877e+02  4.96747718e-07  4.66320841e-07 
 7.26751838e+02  4.93614457e-07  4.63379496e-07 
 7.43510539e+02  4.90532491e-07  4.60486303e-07 
 7.60655691e+02  4.87501174e-07  4.57640658e-07 
 7.78196206e+02  4.84519868e-07  4.54841960e-07 
 7.96141200e+02  4.81587938e-07  4.52089613e-07 
 8.14500001e+02  4.78704754e-07  4.49383026e-07 
 8.33282151e+02  4.75869688e-07  4.46721610e-07 
 8.52497412e+02  4.73082120e-07  4.44104783e-07 
 8.72155772e+02  4.70341433e-07  4.41531964e-07 
 8.92267449e+02  4.67647014e-07  4.39002580e-07 
 9.12842895e+02  4.64998255e-07  4.36516058e-07 
 9.33892805e+02  4.62394552e-07  4.34071833e-07 
 9.55428121e+02  4.59835307e-07  4.31669342e-07 
