Adc_cl_dB_arr,fcu_arr,CMRR_dc_dB_arr
-2.687979999999999814e-01,4.355240000000000000e+05,1.561539999999999928e+01
-2.680509999999999837e-01,4.382030000000000000e+05,1.561219999999999963e+01
-2.688389999999999946e-01,4.387490000000000000e+05,1.560019999999999918e+01
-2.691769999999999996e-01,4.347530000000000000e+05,1.568929999999999936e+01
-2.686239999999999739e-01,4.394300000000000000e+05,1.568599999999999994e+01
-2.689110000000000111e-01,4.358700000000000000e+05,1.570100000000000051e+01
-2.695629999999999971e-01,4.374280000000000000e+05,1.570040000000000013e+01
-2.688769999999999771e-01,4.379820000000000000e+05,1.557869999999999955e+01
-2.679719999999999880e-01,4.359550000000000000e+05,1.566750000000000043e+01
-2.676680000000000170e-01,4.345320000000000000e+05,1.567220000000000013e+01
-2.678429999999999978e-01,4.344760000000000000e+05,1.572380000000000067e+01
-2.687930000000000041e-01,4.399430000000000000e+05,1.568539999999999957e+01
-2.685429999999999762e-01,4.365090000000000000e+05,1.563749999999999929e+01
-2.680279999999999885e-01,4.377150000000000000e+05,1.560529999999999973e+01
-2.681640000000000135e-01,4.356610000000000000e+05,1.568459999999999965e+01
-2.688110000000000221e-01,4.367630000000000000e+05,1.567570000000000086e+01
-2.684549999999999992e-01,4.396950000000000000e+05,1.567469999999999963e+01
-2.676270000000000038e-01,4.412890000000000000e+05,1.562209999999999965e+01
-2.691149999999999931e-01,4.402120000000000000e+05,1.572049999999999947e+01
-2.688429999999999986e-01,4.352450000000000000e+05,1.559290000000000020e+01
-2.676379999999999870e-01,4.367210000000000000e+05,1.560319999999999929e+01
-2.684130000000000127e-01,4.403280000000000000e+05,1.569369999999999976e+01
-2.689070000000000071e-01,4.388810000000000000e+05,1.568210000000000015e+01
-2.682399999999999785e-01,4.314640000000000000e+05,1.573780000000000001e+01
-2.692979999999999818e-01,4.376110000000000000e+05,1.562780000000000058e+01
-2.689960000000000129e-01,4.312440000000000000e+05,1.555150000000000077e+01
-2.696319999999999828e-01,4.386370000000000000e+05,1.567660000000000053e+01
-2.682120000000000060e-01,4.363200000000000000e+05,1.565290000000000070e+01
-2.687999999999999834e-01,4.369410000000000000e+05,1.568280000000000030e+01
-2.676680000000000170e-01,4.376190000000000000e+05,1.563790000000000013e+01
-2.677410000000000068e-01,4.402480000000000000e+05,1.556649999999999956e+01
-2.678670000000000218e-01,4.381110000000000000e+05,1.564809999999999945e+01
-2.685080000000000244e-01,4.383030000000000000e+05,1.554800000000000004e+01
-2.690179999999999794e-01,4.349560000000000000e+05,1.565639999999999965e+01
-2.686830000000000052e-01,4.386070000000000000e+05,1.565329999999999977e+01
-2.695239999999999858e-01,4.332340000000000000e+05,1.568650000000000055e+01
-2.675199999999999800e-01,4.361600000000000000e+05,1.565879999999999939e+01
-2.682749999999999857e-01,4.386400000000000000e+05,1.567859999999999943e+01
-2.690810000000000146e-01,4.373090000000000000e+05,1.563889999999999958e+01
