time,vinp,vinn,voutp,voutn,vout
8.011827759999999156e-06,1.500000000000000000e+00,-0.000000000000000000e+00,9.208783400000000174e-01,5.826536199999999832e-01,3.382247210000000059e-01
8.012876339999999272e-06,1.500000000000000000e+00,-0.000000000000000000e+00,9.206083400000000250e-01,5.828845040000000255e-01,3.377238359999999995e-01
8.014973489999999680e-06,1.500000000000000000e+00,-0.000000000000000000e+00,9.200684350000000178e-01,5.833465129999999554e-01,3.367219220000000068e-01
8.017857139999999880e-06,1.500000000000000000e+00,-0.000000000000000000e+00,9.193259860000000394e-01,5.839822369999999596e-01,3.353437490000000243e-01
8.017858139999999272e-06,1.500000000000000000e+00,-0.000000000000000000e+00,9.193257280000000087e-01,5.839824569999999548e-01,3.353432709999999983e-01
8.017860139999999751e-06,1.500000000000000000e+00,-0.000000000000000000e+00,9.193252130000000300e-01,5.839828980000000280e-01,3.353423150000000019e-01
8.017864140000000709e-06,1.500000000000000000e+00,-0.000000000000000000e+00,9.193241829999999615e-01,5.839837810000000351e-01,3.353404030000000091e-01
8.017867140000000580e-06,1.500000000000000000e+00,-0.000000000000000000e+00,9.193234110000000348e-01,5.839844419999999925e-01,3.353389689999999868e-01
8.017867940000000094e-06,1.500000000000000000e+00,-0.000000000000000000e+00,9.193232049999999766e-01,5.839846189999999826e-01,3.353385859999999941e-01
8.017869540000000815e-06,1.500000000000000000e+00,-0.000000000000000000e+00,9.193227929999999715e-01,5.839849719999999911e-01,3.353378209999999804e-01
8.017872740000000565e-06,1.500000000000000000e+00,-0.000000000000000000e+00,9.193219689999999611e-01,5.839856770000000363e-01,3.353362919999999803e-01
8.017879140000000064e-06,1.500000000000000000e+00,-0.000000000000000000e+00,9.193203210000000514e-01,5.839870889999999592e-01,3.353332319999999811e-01
8.017891940000000756e-06,1.500000000000000000e+00,-0.000000000000000000e+00,9.193170259999999816e-01,5.839899120000000554e-01,3.353271130000000100e-01
8.017917540000000446e-06,1.500000000000000000e+00,-0.000000000000000000e+00,9.193104340000000096e-01,5.839955589999999974e-01,3.353148750000000122e-01
8.017968739999999827e-06,1.500000000000000000e+00,-0.000000000000000000e+00,9.192972510000000375e-01,5.840068520000000207e-01,3.352903990000000167e-01
8.018071140000000282e-06,1.500000000000000000e+00,-0.000000000000000000e+00,9.192708840000000103e-01,5.840294379999999563e-01,3.352414450000000268e-01
8.018275939999999497e-06,1.500000000000000000e+00,-0.000000000000000000e+00,9.192181499999999561e-01,5.840746150000000192e-01,3.351435349999999924e-01
8.018685539999999623e-06,1.500000000000000000e+00,-0.000000000000000000e+00,9.191126859999999565e-01,5.841649859999999972e-01,3.349477000000000149e-01
