frequency,mag_dB,phase_deg
1.606941253012877269e+01,-5.000000000000019984e-01,-4.603547587393389505e-03
1.640589773199538826e+01,-4.999999999999998890e-01,-4.699943497150640796e-03
1.674942876026437233e+01,-4.999999999999998890e-01,-4.798357887493174059e-03
1.710015315090286947e+01,-4.999999999999998890e-01,-4.898833024362535433e-03
1.745822152920503711e+01,-4.999999999999998890e-01,-5.001412058727287141e-03
1.782378767448089008e+01,-4.999999999999998890e-01,-5.106139045115003737e-03
1.819700858609983385e+01,-4.999999999999998890e-01,-5.213058960532341614e-03
1.857804455091698159e+01,-4.999999999999998890e-01,-5.322217723781269040e-03
1.896705921211145451e+01,-4.999999999999998890e-01,-5.433662215179779070e-03
1.936421963946606795e+01,-5.000000000000008882e-01,-5.547440296695545572e-03
1.976969640111860116e+01,-5.000000000000008882e-01,-5.663600832501142213e-03
2.018366363681560571e+01,-4.999999999999998890e-01,-5.782193709959720929e-03
2.060629913269999491e+01,-4.999999999999998890e-01,-5.903269861050081113e-03
2.103778439766475117e+01,-4.999999999999998890e-01,-6.026881284240385994e-03
2.147830474130532963e+01,-4.999999999999998890e-01,-6.153081066819899789e-03
2.192804935350448403e+01,-5.000000000000008882e-01,-6.281923407698356866e-03
2.238721138568338986e+01,-4.999999999999998890e-01,-6.413463640682686047e-03
2.285598803375430066e+01,-4.999999999999998890e-01,-6.547758258241218217e-03
2.333458062281001943e+01,-4.999999999999998890e-01,-6.684864935765421311e-03
2.382319469358690256e+01,-5.000000000000008882e-01,-6.824842556339734065e-03
2.432204009073814532e+01,-4.999999999999998890e-01,-6.967751236030006630e-03
2.483133105295569010e+01,-4.999999999999988898e-01,-7.113652349701521903e-03
2.535128630497906954e+01,-4.999999999999998890e-01,-7.262608557377593990e-03
2.588212915153090421e+01,-4.999999999999998890e-01,-7.414683831150115784e-03
2.642408757321945956e+01,-4.999999999999998890e-01,-7.569943482653615843e-03
2.697739432444919316e+01,-4.999999999999998890e-01,-7.728454191114569535e-03
