 time            v(vind)         v(vout)         v(vinp)         v(vinn)         v(voutp)        v(voutn)       
 1.19280000e-04  1.36248467e-02  4.47392418e-01  9.06812423e-01  8.93187577e-01  1.11230847e+00  6.64916053e-01 
 1.20280000e-04  1.37165703e-02  4.50142162e-01  9.06858285e-01  8.93141715e-01  1.11372342e+00  6.63581260e-01 
 1.21280000e-04  1.38077524e-02  4.52870070e-01  9.06903876e-01  8.93096124e-01  1.11512718e+00  6.62257114e-01 
 1.22280000e-04  1.38983893e-02  4.55576093e-01  9.06949195e-01  8.93050805e-01  1.11651973e+00  6.60943635e-01 
 1.23280000e-04  1.39884776e-02  4.58260184e-01  9.06994239e-01  8.93005761e-01  1.11790102e+00  6.59640839e-01 
 1.24280000e-04  1.40780136e-02  4.60922301e-01  9.07039007e-01  8.92960993e-01  1.11927104e+00  6.58348742e-01 
 1.25280000e-04  1.41669939e-02  4.63562400e-01  9.07083497e-01  8.92916503e-01  1.12062976e+00  6.57067360e-01 
 1.26280000e-04  1.42554148e-02  4.66180444e-01  9.07127707e-01  8.92872293e-01  1.12197715e+00  6.55796705e-01 
 1.27280000e-04  1.43432730e-02  4.68776397e-01  9.07171637e-01  8.92828363e-01  1.12331319e+00  6.54536793e-01 
 1.28280000e-04  1.44305650e-02  4.71350224e-01  9.07215282e-01  8.92784718e-01  1.12463786e+00  6.53287633e-01 
 1.29280000e-04  1.45172872e-02  4.73901894e-01  9.07258644e-01  8.92741356e-01  1.12595113e+00  6.52049238e-01 
 1.30280000e-04  1.46034363e-02  4.76431377e-01  9.07301718e-01  8.92698282e-01  1.12725299e+00  6.50821617e-01 
 1.31280000e-04  1.46890089e-02  4.78938647e-01  9.07344504e-01  8.92655496e-01  1.12854343e+00  6.49604779e-01 
 1.32280000e-04  1.47740017e-02  4.81423678e-01  9.07387001e-01  8.92612999e-01  1.12982241e+00  6.48398733e-01 
 1.33280000e-04  1.48584111e-02  4.83886450e-01  9.07429206e-01  8.92570794e-01  1.13108994e+00  6.47203486e-01 
 1.34280000e-04  1.49422340e-02  4.86326940e-01  9.07471117e-01  8.92528883e-01  1.13234598e+00  6.46019044e-01 
 1.35280000e-04  1.50254670e-02  4.88745133e-01  9.07512733e-01  8.92487267e-01  1.13359055e+00  6.44845413e-01 
 1.36280000e-04  1.51081068e-02  4.91141011e-01  9.07554053e-01  8.92445947e-01  1.13482361e+00  6.43682597e-01 
 1.37280000e-04  1.51901501e-02  4.93514561e-01  9.07595075e-01  8.92404925e-01  1.13604516e+00  6.42530599e-01 
 1.38280000e-04  1.52715938e-02  4.95865771e-01  9.07635797e-01  8.92364203e-01  1.13725519e+00  6.41389423e-01 
 1.39280000e-04  1.53524346e-02  4.98194633e-01  9.07676217e-01  8.92323783e-01  1.13845370e+00  6.40259071e-01 
 1.40280000e-04  1.54326693e-02  5.00501138e-01  9.07716335e-01  8.92283665e-01  1.13964068e+00  6.39139544e-01 
 1.41280000e-04  1.55122947e-02  5.02785281e-01  9.07756147e-01  8.92243853e-01  1.14081612e+00  6.38030842e-01 
 1.42280000e-04  1.55913078e-02  5.05047058e-01  9.07795654e-01  8.92204346e-01  1.14198002e+00  6.36932965e-01 
 1.43280000e-04  1.56697053e-02  5.07286469e-01  9.07834853e-01  8.92165147e-01  1.14313238e+00  6.35845911e-01 
 1.44280000e-04  1.57474842e-02  5.09503512e-01  9.07873742e-01  8.92126258e-01  1.14427319e+00  6.34769679e-01 
 1.45280000e-04  1.58246414e-02  5.11698190e-01  9.07912321e-01  8.92087679e-01  1.14540246e+00  6.33704266e-01 
 1.46280000e-04  1.59011739e-02  5.13870507e-01  9.07950587e-01  8.92049413e-01  1.14652018e+00  6.32649668e-01 
 1.47280000e-04  1.59770787e-02  5.16020468e-01  9.07988539e-01  8.92011461e-01  1.14762635e+00  6.31605882e-01 
 1.48280000e-04  1.60523527e-02  5.18148081e-01  9.08026176e-01  8.91973824e-01  1.14872098e+00  6.30572903e-01 
 1.49280000e-04  1.61269929e-02  5.20253354e-01  9.08063496e-01  8.91936504e-01  1.14980408e+00  6.29550725e-01 
 1.50280000e-04  1.62009966e-02  5.22336298e-01  9.08100498e-01  8.91899502e-01  1.15087564e+00  6.28539342e-01 
 1.51280000e-04  1.62743606e-02  5.24396926e-01  9.08137180e-01  8.91862820e-01  1.15193567e+00  6.27538747e-01 
 1.52280000e-04  1.63470821e-02  5.26435250e-01  9.08173541e-01  8.91826459e-01  1.15298418e+00  6.26548933e-01 
 1.53280000e-04  1.64191583e-02  5.28451286e-01  9.08209579e-01  8.91790421e-01  1.15402118e+00  6.25569893e-01 
 1.54280000e-04  1.64905863e-02  5.30445050e-01  9.08245293e-01  8.91754707e-01  1.15504667e+00  6.24601617e-01 
 1.55280000e-04  1.65613633e-02  5.32416560e-01  9.08280682e-01  8.91719318e-01  1.15606066e+00  6.23644096e-01 
 1.56280000e-04  1.66314864e-02  5.34365837e-01  9.08315743e-01  8.91684257e-01  1.15706316e+00  6.22697322e-01 
 1.57280000e-04  1.67009530e-02  5.36292899e-01  9.08350476e-01  8.91649524e-01  1.15805418e+00  6.21761283e-01 
 1.58280000e-04  1.67697602e-02  5.38197770e-01  9.08384880e-01  8.91615120e-01  1.15903374e+00  6.20835968e-01 
 1.59280000e-04  1.68379054e-02  5.40080473e-01  9.08418953e-01  8.91581047e-01  1.16000184e+00  6.19921368e-01 
 1.60280000e-04  1.69053859e-02  5.41941031e-01  9.08452693e-01  8.91547307e-01  1.16095850e+00  6.19017470e-01 
 1.61280000e-04  1.69721990e-02  5.43779470e-01  9.08486099e-01  8.91513901e-01  1.16190373e+00  6.18124261e-01 
 1.62280000e-04  1.70383420e-02  5.45595818e-01  9.08519171e-01  8.91480829e-01  1.16283755e+00  6.17241730e-01 
 1.63280000e-04  1.71038124e-02  5.47390101e-01  9.08551906e-01  8.91448094e-01  1.16375996e+00  6.16369864e-01 
 1.64280000e-04  1.71686076e-02  5.49162348e-01  9.08584304e-01  8.91415696e-01  1.16467100e+00  6.15508648e-01 
 1.65280000e-04  1.72327249e-02  5.50912589e-01  9.08616362e-01  8.91383638e-01  1.16557066e+00  6.14658070e-01 
 1.66280000e-04  1.72961620e-02  5.52640854e-01  9.08648081e-01  8.91351919e-01  1.16645897e+00  6.13818115e-01 
 1.67280000e-04  1.73589162e-02  5.54347175e-01  9.08679458e-01  8.91320542e-01  1.16733594e+00  6.12988768e-01 
 1.68280000e-04  1.74209852e-02  5.56031584e-01  9.08710493e-01  8.91289507e-01  1.16820160e+00  6.12170015e-01 
 1.69280000e-04  1.74823664e-02  5.57694115e-01  9.08741183e-01  8.91258817e-01  1.16905596e+00  6.11361841e-01 
 1.70280000e-04  1.75430574e-02  5.59334801e-01  9.08771529e-01  8.91228471e-01  1.16989903e+00  6.10564230e-01 
 1.71280000e-04  1.76030558e-02  5.60953676e-01  9.08801528e-01  8.91198472e-01  1.17073084e+00  6.09777166e-01 
 1.72280000e-04  1.76623593e-02  5.62550776e-01  9.08831180e-01  8.91168820e-01  1.17155141e+00  6.09000634e-01 
 1.73280000e-04  1.77209655e-02  5.64126137e-01  9.08860483e-01  8.91139517e-01  1.17236075e+00  6.08234617e-01 
 1.74280000e-04  1.77788722e-02  5.65679796e-01  9.08889436e-01  8.91110564e-01  1.17315889e+00  6.07479098e-01 
