 time            v(vin_tg)       v(vout_tg_on)   v(vout_tg_off) 
 1.28280000e-03  1.78095494e+00  1.78095575e+00  8.11202824e-01 
 1.29280000e-03  1.76765248e+00  1.76765355e+00  8.11676944e-01 
 1.30280000e-03  1.75092580e+00  1.75092711e+00  8.11970037e-01 
 1.31280000e-03  1.73084090e+00  1.73084247e+00  8.12133116e-01 
 1.32280000e-03  1.70747704e+00  1.70747889e+00  8.12215301e-01 
 1.33280000e-03  1.68092645e+00  1.68092857e+00  8.12253189e-01 
 1.34280000e-03  1.65129389e+00  1.65129631e+00  8.12269399e-01 
 1.35280000e-03  1.61869633e+00  1.61869905e+00  8.12275958e-01 
 1.36280000e-03  1.58326239e+00  1.58326545e+00  8.12278542e-01 
 1.37280000e-03  1.54513193e+00  1.54513535e+00  8.12279570e-01 
 1.38280000e-03  1.50445543e+00  1.50445925e+00  8.12280001e-01 
 1.39280000e-03  1.46139342e+00  1.46139769e+00  8.12280198e-01 
 1.40280000e-03  1.41611585e+00  1.41612064e+00  8.12280296e-01 
 1.41280000e-03  1.36880140e+00  1.36880683e+00  8.12280349e-01 
 1.42280000e-03  1.31963681e+00  1.31964301e+00  8.12280378e-01 
 1.43280000e-03  1.26881611e+00  1.26882331e+00  8.12280395e-01 
 1.44280000e-03  1.21653985e+00  1.21654840e+00  8.12280404e-01 
 1.45280000e-03  1.16301436e+00  1.16302485e+00  8.12280409e-01 
 1.46280000e-03  1.10845087e+00  1.10846434e+00  8.12280412e-01 
 1.47280000e-03  1.05306472e+00  1.05308304e+00  8.12280412e-01 
 1.48280000e-03  9.97074490e-01  9.97100055e-01  8.12280413e-01 
 1.49280000e-03  9.40701155e-01  9.40731794e-01  8.12280412e-01 
 1.50280000e-03  8.84167190e-01  8.84192487e-01  8.12280412e-01 
 1.51280000e-03  8.27695710e-01  8.27712668e-01  8.12280411e-01 
 1.52280000e-03  7.71509582e-01  7.71521244e-01  8.12280410e-01 
 1.53280000e-03  7.15830547e-01  7.15839245e-01  8.12280409e-01 
 1.54280000e-03  6.60878345e-01  6.60885277e-01  8.12280409e-01 
